"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0030216",4,65,18870,55,3.83202099439257e-05,"KRT14/KRT16/S100A7/TP63",0.0129774084850186,"keratinocyte differentiation"
"GO:0061436",3,33,18870,55,0.000120153939897487,"KRT16/TP63/CLDN1",0.0129774084850186,"establishment of skin barrier"
"GO:0010753",2,6,18870,55,0.000124185727129365,"ADORA2B/NPR1",0.0129774084850186,"positive regulation of cGMP-mediated signaling"
"GO:0045110",2,6,18870,55,0.000124185727129365,"KRT14/PKP1",0.0129774084850186,"intermediate filament bundle assembly"
"GO:0033209",3,54,18870,55,0.000523102985881182,"FOXO3/KRT8/TNFRSF25",0.0380594693392875,"tumor necrosis factor-mediated signaling pathway"
"GO:0032496",4,134,18870,55,0.000626369808650398,"DIO2/PTGER2/S100A7/CLDN1",0.0380594693392875,"response to lipopolysaccharide"
"GO:0042633",2,13,18870,55,0.000637359534389982,"KRT14/KRT16",0.0380594693392875,"hair cycle"
"GO:0045109",3,68,18870,55,0.00102690861422216,"KRT14/KRT16/KRT17",0.053655975093108,"intermediate filament organization"
"GO:0008544",3,81,18870,55,0.00170218106929047,"COL17A1/KRT14/S100A7",0.0743787287069192,"epidermis development"
"GO:0019934",2,23,18870,55,0.00202905888624213,"ADORA2B/NPR1",0.0743787287069192,"cGMP-mediated signaling"
"GO:0043303",2,24,18870,55,0.00220939068866592,"ADORA2B/S100A13",0.0743787287069192,"mast cell degranulation"
"GO:0043123",4,196,18870,55,0.0025460231223697,"CASP1/PRKCB/S100A13/UBE2I",0.0743787287069192,"positive regulation of canonical NF-kappaB signal transduction"
"GO:0030855",3,94,18870,55,0.00260385867316268,"KRT14/KRT16/KRT17",0.0743787287069192,"epithelial cell differentiation"
"GO:0045930",2,28,18870,55,0.00300340622910246,"CDKN1C/MAD2L1",0.0743787287069192,"negative regulation of mitotic cell cycle"
"GO:0099171",2,30,18870,55,0.00344343525809261,"ADORA2B/PRKCB",0.0743787287069192,"presynaptic modulation of chemical synaptic transmission"
"GO:0031069",2,33,18870,55,0.00415631429699833,"KRT17/TP63",0.0743787287069192,"hair follicle morphogenesis"
"GO:0006915",6,550,18870,55,0.00515719189142807,"CASP1/FOXO3/PRKCB/TP63/TNFRSF25/NISCH",0.0743787287069192,"apoptotic process"
"GO:0045892",6,553,18870,55,0.00529372829645724,"CDKN1C/CHD3/TLE1/UBE2I/ZNF148/TP63",0.0743787287069192,"negative regulation of DNA-templated transcription"
"GO:0007189",3,125,18870,55,0.00579287497629645,"ADORA2B/ADGRE5/PTGER2",0.0743787287069192,"adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"GO:0007620",1,2,18870,55,0.00582101743359076,"PI3",0.0743787287069192,"copulation"
"GO:0014737",1,2,18870,55,0.00582101743359076,"FOXO3",0.0743787287069192,"positive regulation of muscle atrophy"
"GO:0016488",1,2,18870,55,0.00582101743359076,"AKR1B10",0.0743787287069192,"farnesol catabolic process"
"GO:0034331",1,2,18870,55,0.00582101743359076,"CLDN1",0.0743787287069192,"cell junction maintenance"
"GO:0046459",1,2,18870,55,0.00582101743359076,"CRAT",0.0743787287069192,"short-chain fatty acid metabolic process"
"GO:0060197",1,2,18870,55,0.00582101743359076,"TP63",0.0743787287069192,"cloacal septation"
"GO:0060529",1,2,18870,55,0.00582101743359076,"TP63",0.0743787287069192,"squamous basal epithelial stem cell differentiation involved in prostate gland acinus development"
"GO:0070673",1,2,18870,55,0.00582101743359076,"CLDN1",0.0743787287069192,"response to interleukin-18"
"GO:0071322",1,2,18870,55,0.00582101743359076,"PRKCB",0.0743787287069192,"cellular response to carbohydrate stimulus"
"GO:0071624",1,2,18870,55,0.00582101743359076,"S100A7",0.0743787287069192,"positive regulation of granulocyte chemotaxis"
"GO:0140970",1,2,18870,55,0.00582101743359076,"CASP1",0.0743787287069192,"AIM2 inflammasome complex assembly"
"GO:1902746",1,2,18870,55,0.00582101743359076,"CDKN1C",0.0743787287069192,"regulation of lens fiber cell differentiation"
"GO:1904674",1,2,18870,55,0.00582101743359076,"TP63",0.0743787287069192,"positive regulation of somatic stem cell population maintenance"
"GO:0030178",2,47,18870,55,0.00829063567830953,"TLE1/DKK1",0.0743787287069192,"negative regulation of Wnt signaling pathway"
"GO:0008065",1,3,18870,55,0.00871903757569148,"CLDN1",0.0743787287069192,"establishment of blood-nerve barrier"
"GO:0010482",1,3,18870,55,0.00871903757569148,"TP63",0.0743787287069192,"regulation of epidermal cell division"
"GO:0018894",1,3,18870,55,0.00871903757569148,"PRKCB",0.0743787287069192,"dibenzo-p-dioxin metabolic process"
"GO:0019254",1,3,18870,55,0.00871903757569148,"CRAT",0.0743787287069192,"carnitine metabolic process, CoA-linked"
"GO:0042488",1,3,18870,55,0.00871903757569148,"PRKCB",0.0743787287069192,"positive regulation of odontogenesis of dentin-containing tooth"
"GO:0042662",1,3,18870,55,0.00871903757569148,"DKK1",0.0743787287069192,"negative regulation of mesodermal cell fate specification"
"GO:0044313",1,3,18870,55,0.00871903757569148,"USP13",0.0743787287069192,"protein K6-linked deubiquitination"
"GO:0048807",1,3,18870,55,0.00871903757569148,"TP63",0.0743787287069192,"female genitalia morphogenesis"
"GO:0051707",1,3,18870,55,0.00871903757569148,"KRT8",0.0743787287069192,"response to other organism"
"GO:0140448",1,3,18870,55,0.00871903757569148,"CASP1",0.0743787287069192,"signaling receptor ligand precursor processing"
"GO:1902373",1,3,18870,55,0.00871903757569148,"PKP1",0.0743787287069192,"negative regulation of mRNA catabolic process"
"GO:1904030",1,3,18870,55,0.00871903757569148,"CDKN1C",0.0743787287069192,"negative regulation of cyclin-dependent protein kinase activity"
"GO:1904338",1,3,18870,55,0.00871903757569148,"DKK1",0.0743787287069192,"regulation of dopaminergic neuron differentiation"
"GO:1904378",1,3,18870,55,0.00871903757569148,"USP13",0.0743787287069192,"maintenance of unfolded protein involved in ERAD pathway"
"GO:1904977",1,3,18870,55,0.00871903757569148,"LGALS8",0.0743787287069192,"lymphatic endothelial cell migration"
"GO:2000381",1,3,18870,55,0.00871903757569148,"TP63",0.0743787287069192,"negative regulation of mesoderm development"
"GO:0016925",2,53,18870,55,0.0104513646401067,"UBE2I/SAE1",0.0836631553152426,"protein sumoylation"
"GO:0035815",1,4,18870,55,0.0116087631777131,"NPR1",0.0836631553152426,"positive regulation of renal sodium excretion"
"GO:0045132",1,4,18870,55,0.0116087631777131,"SMC2",0.0836631553152426,"meiotic chromosome segregation"
"GO:0051599",1,4,18870,55,0.0116087631777131,"KRT8",0.0836631553152426,"response to hydrostatic pressure"
"GO:0060513",1,4,18870,55,0.0116087631777131,"TP63",0.0836631553152426,"prostatic bud formation"
"GO:0070966",1,4,18870,55,0.0116087631777131,"HBS1L",0.0836631553152426,"nuclear-transcribed mRNA catabolic process, no-go decay"
"GO:0090082",1,4,18870,55,0.0116087631777131,"DKK1",0.0836631553152426,"positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway"
"GO:0090244",1,4,18870,55,0.0116087631777131,"DKK1",0.0836631553152426,"Wnt signaling pathway involved in somitogenesis"
"GO:0140447",1,4,18870,55,0.0116087631777131,"CASP1",0.0836631553152426,"cytokine precursor processing"
"GO:0002090",1,5,18870,55,0.0144902175413947,"DKK1",0.0885111120972639,"regulation of receptor internalization"
"GO:0010829",1,5,18870,55,0.0144902175413947,"PRKCB",0.0885111120972639,"negative regulation of glucose transmembrane transport"
"GO:0032690",1,5,18870,55,0.0144902175413947,"IL1R2",0.0885111120972639,"negative regulation of interleukin-1 alpha production"
"GO:0035523",1,5,18870,55,0.0144902175413947,"USP13",0.0885111120972639,"protein K29-linked deubiquitination"
"GO:0046314",1,5,18870,55,0.0144902175413947,"CKMT1A",0.0885111120972639,"phosphocreatine biosynthetic process"
"GO:0051383",1,5,18870,55,0.0144902175413947,"SMC2",0.0885111120972639,"kinetochore organization"
"GO:0051791",1,5,18870,55,0.0144902175413947,"CRAT",0.0885111120972639,"medium-chain fatty acid metabolic process"
"GO:0071284",1,5,18870,55,0.0144902175413947,"CLDN1",0.0885111120972639,"cellular response to lead ion"
"GO:1902975",1,5,18870,55,0.0144902175413947,"MCM4",0.0885111120972639,"mitotic DNA replication initiation"
"GO:0030336",3,178,18870,55,0.0151236681544134,"FOXO3/KRT16/NISCH",0.0885111120972639,"negative regulation of cell migration"
"GO:0006417",2,66,18870,55,0.0158813806888369,"FOXO3/HBS1L",0.0885111120972639,"regulation of translation"
"GO:0010506",2,69,18870,55,0.0172734238151208,"USP13/LAMP3",0.0885111120972639,"regulation of autophagy"
"GO:0007231",1,6,18870,55,0.0173634239042479,"CASP1",0.0885111120972639,"osmosensory signaling pathway"
"GO:0007589",1,6,18870,55,0.0173634239042479,"NPR1",0.0885111120972639,"body fluid secretion"
"GO:0010032",1,6,18870,55,0.0173634239042479,"SMC2",0.0885111120972639,"meiotic chromosome condensation"
"GO:0030859",1,6,18870,55,0.0173634239042479,"TP63",0.0885111120972639,"polarized epithelial cell differentiation"
"GO:0031581",1,6,18870,55,0.0173634239042479,"COL17A1",0.0885111120972639,"hemidesmosome assembly"
"GO:0032730",1,6,18870,55,0.0173634239042479,"S100A13",0.0885111120972639,"positive regulation of interleukin-1 alpha production"
"GO:0051546",1,6,18870,55,0.0173634239042479,"KRT16",0.0885111120972639,"keratinocyte migration"
"GO:0055123",1,6,18870,55,0.0173634239042479,"CDKN1C",0.0885111120972639,"digestive system development"
"GO:0060087",1,6,18870,55,0.0173634239042479,"ADORA2B",0.0885111120972639,"relaxation of vascular associated smooth muscle"
"GO:0060669",1,6,18870,55,0.0173634239042479,"CDKN1C",0.0885111120972639,"embryonic placenta morphogenesis"
"GO:0060706",1,6,18870,55,0.0173634239042479,"KRT8",0.0885111120972639,"cell differentiation involved in embryonic placenta development"
"GO:0110095",1,6,18870,55,0.0173634239042479,"AKR1B10",0.0885111120972639,"cellular detoxification of aldehyde"
"GO:0051301",4,350,18870,55,0.0188948731276445,"CKS2/MAD2L1/UBE2I/SMC2",0.0899518454660173,"cell division"
"GO:0042981",3,196,18870,55,0.0194974028050515,"CASP1/NME1/TNFRSF25",0.0899518454660173,"regulation of apoptotic process"
"GO:0031424",2,75,18870,55,0.0202067656870059,"KRT16/KRT17",0.0899518454660173,"keratinization"
"GO:0007077",1,7,18870,55,0.0202284054397264,"PRKCB",0.0899518454660173,"mitotic nuclear membrane disassembly"
"GO:0007127",1,7,18870,55,0.0202284054397264,"CKS2",0.0899518454660173,"meiosis I"
"GO:0009624",1,7,18870,55,0.0202284054397264,"PTGER2",0.0899518454660173,"response to nematode"
"GO:0043269",1,7,18870,55,0.0202284054397264,"FXYD3",0.0899518454660173,"regulation of monoatomic ion transport"
"GO:0051798",1,7,18870,55,0.0202284054397264,"KRT17",0.0899518454660173,"positive regulation of hair follicle development"
"GO:0061743",1,7,18870,55,0.0202284054397264,"DKK1",0.0899518454660173,"motor learning"
"GO:0098883",1,7,18870,55,0.0202284054397264,"DKK1",0.0899518454660173,"synapse pruning"
"GO:1903348",1,7,18870,55,0.0202284054397264,"CLDN1",0.0899518454660173,"positive regulation of bicellular tight junction assembly"
"GO:2000660",1,7,18870,55,0.0202284054397264,"IL1R2",0.0899518454660173,"negative regulation of interleukin-1-mediated signaling pathway"
"GO:0045727",2,78,18870,55,0.0217461856546558,"CIRBP/KRT17",0.0901832470803181,"positive regulation of translation"
