"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0008544",2,76,25857,6,0.000126914093139623,"CALML5/KRT10",0.00215753958337359,"epidermis development"
"GO:0045684",1,4,25857,6,0.000927912715486534,"KRT10",0.00525817205442369,"positive regulation of epidermis development"
"GO:1903575",1,6,25857,6,0.00139159993447113,"DMKN",0.00675919968171693,"cornified envelope assembly"
"GO:0051290",1,15,25857,6,0.00347597374239161,"KRT10",0.0121740870221508,"protein heterotetramerization"
"GO:0043647",1,16,25857,6,0.00370734686202445,"INPP4B",0.0121740870221508,"inositol phosphate metabolic process"
"GO:0042730",1,17,25857,6,0.0039386752130488,"SERPINB2",0.0121740870221508,"fibrinolysis"
"GO:0036092",1,22,25857,6,0.0050946456815788,"INPP4B",0.01278956097225,"phosphatidylinositol-3-phosphate biosynthetic process"
"GO:0018149",1,25,25857,6,0.00578769118280564,"KRT10",0.01278956097225,"peptide cross-linking"
"GO:0046856",1,25,25857,6,0.00578769118280564,"INPP4B",0.01278956097225,"phosphatidylinositol dephosphorylation"
"GO:0006506",1,26,25857,6,0.00601861692811767,"CWH43",0.01278956097225,"GPI anchor biosynthetic process"
"GO:0010951",1,42,25857,6,0.00970735444757942,"SERPINB2",0.0173710553272474,"negative regulation of endopeptidase activity"
"GO:0006661",1,46,25857,6,0.0106277541739086,"INPP4B",0.0180671820956446,"phosphatidylinositol biosynthetic process"
"GO:0045109",1,57,25857,6,0.0131551784633401,"KRT10",0.0212988603692174,"intermediate filament organization"
"GO:0030216",1,65,25857,6,0.0149899238245578,"KRT10",0.0224977511988239,"keratinocyte differentiation"
"GO:0030855",1,82,25857,6,0.018879320737111,"KRT10",0.0259864851158672,"epithelial cell differentiation"
"GO:0007165",2,1036,25857,6,0.0216048216914696,"INPP4B/CALML5",0.0282524591349987,"signal transduction"
"GO:0043066",1,429,25857,6,0.0955175326604639,"SERPINB2",0.104761164853412,"negative regulation of apoptotic process"
