"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0008544",2,81,191076,6,2.65936154557526e-06,"KRT10/CALML5",4.52091462747794e-05,"epidermis development"
"GO:0045684",1,4,191076,6,0.000125599541410892,"KRT10",0.000610054915424334,"positive regulation of epidermis development"
"GO:1903575",1,6,191076,6,0.000188394382180546,"DMKN",0.000800676124267319,"cornified envelope assembly"
"GO:0051290",1,15,191076,6,0.000470930497929123,"KRT10",0.0016798915962257,"protein heterotetramerization"
"GO:0043647",1,16,191076,6,0.000502319292172815,"INPP4B",0.0016798915962257,"inositol phosphate metabolic process"
"GO:0007165",2,1160,191076,6,0.000543494339955373,"INPP4B/CALML5",0.0016798915962257,"signal transduction"
"GO:0042730",1,19,191076,6,0.000596480746344108,"SERPINB2",0.00169002878130831,"fibrinolysis"
"GO:0036092",1,22,191076,6,0.00069063480803655,"INPP4B",0.00169508363544058,"phosphatidylinositol-3-phosphate biosynthetic process"
"GO:0046856",1,25,191076,6,0.000784781477713992,"INPP4B",0.00169508363544058,"phosphatidylinositol dephosphorylation"
"GO:0006506",1,26,191076,6,0.000816162058350334,"CWH43",0.00169508363544058,"GPI anchor biosynthetic process"
"GO:0018149",1,27,191076,6,0.000847541817720288,"KRT10",0.00169508363544058,"peptide cross-linking"
"GO:0006661",1,46,191076,6,0.00144360122804543,"INPP4B",0.00254036610536166,"phosphatidylinositol biosynthetic process"
"GO:0010951",1,50,191076,6,0.00156904965331162,"SERPINB2",0.00254036610536166,"negative regulation of endopeptidase activity"
"GO:0030216",1,65,191076,6,0.00203936428540596,"KRT10",0.00315174480471831,"keratinocyte differentiation"
"GO:0045109",1,68,191076,6,0.00213340505388304,"KRT10",0.00315372921008797,"intermediate filament organization"
"GO:0030855",1,94,191076,6,0.00294811575183784,"KRT10",0.00413723580726235,"epithelial cell differentiation"
"GO:0043066",1,481,191076,6,0.0150093975629235,"SERPINB2",0.0164619199077226,"negative regulation of apoptotic process"
