"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0038095",3,24,18870,157,0.00100583202951038,"FCER2/MAPK9/MAPK10",0.251063467084668,"Fc-epsilon receptor signaling pathway"
"GO:0009062",2,9,18870,157,0.00238310690921236,"PLA2G15/LPIN3",0.251063467084668,"fatty acid catabolic process"
"GO:0048743",2,9,18870,157,0.00238310690921236,"ACTN3/SHOX2",0.251063467084668,"positive regulation of skeletal muscle fiber development"
"GO:0090150",2,9,18870,157,0.00238310690921236,"NPC1/SYNE3",0.251063467084668,"establishment of protein localization to membrane"
"GO:0044419",2,10,18870,157,0.00296264373259176,"FCER2/CLEC4M",0.251063467084668,"biological process involved in interspecies interaction between organisms"
"GO:0006002",2,11,18870,157,0.00360128143032427,"FBP2/GFPT2",0.251063467084668,"fructose 6-phosphate metabolic process"
"GO:0012501",2,11,18870,157,0.00360128143032427,"NPC1/HTRA2",0.251063467084668,"programmed cell death"
"GO:0007398",2,13,18870,157,0.00505182845196307,"SMURF1/EPB41L5",0.251063467084668,"ectoderm development"
"GO:0010457",2,13,18870,157,0.00505182845196307,"DCTN1/CCDC102B",0.251063467084668,"centriole-centriole cohesion"
"GO:0046475",2,15,18870,157,0.0067268105988043,"PNPLA6/ENPP6",0.251063467084668,"glycerophospholipid catabolic process"
"GO:0070534",3,47,18870,157,0.0070087475605135,"RNF4/RNF168/PELI3",0.251063467084668,"protein K63-linked ubiquitination"
"GO:0030970",2,16,18870,157,0.00764603822399169,"AUP1/ERLEC1",0.251063467084668,"retrograde protein transport, ER to cytosol"
"GO:0034614",3,50,18870,157,0.00831988217700129,"MAPK9/NME8/NCF1",0.251063467084668,"cellular response to reactive oxygen species"
"GO:0007097",2,17,18870,157,0.00861848685669233,"DCTN1/SYNE3",0.251063467084668,"nuclear migration"
"GO:0045987",2,17,18870,157,0.00861848685669233,"ITGA2/NPNT",0.251063467084668,"positive regulation of smooth muscle contraction"
"GO:0045104",2,18,18870,157,0.00964321885253523,"KRT18/ATXN3",0.251063467084668,"intermediate filament cytoskeleton organization"
"GO:0046718",4,102,18870,157,0.0104354403155704,"ITGA2/NPC1/SELPLG/CLEC4M",0.251063467084668,"viral entry into host cell"
"GO:0030490",2,19,18870,157,0.010719308311831,"RIOK3/IMP3",0.251063467084668,"maturation of SSU-rRNA"
"GO:0061001",2,19,18870,157,0.010719308311831,"ABI2/TANC2",0.251063467084668,"regulation of dendritic spine morphogenesis"
