"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0010468",6,195,18870,53,1.72836858121142e-05,"COMP/FUT8/TRIM44/NFKBIZ/ZC3H12A/RICTOR",0.00947145982503861,"regulation of gene expression"
"GO:0097398",2,6,18870,53,0.000115270282293579,"STAT3/NFKBIZ",0.0315840573484406,"cellular response to interleukin-17"
"GO:0042446",2,12,18870,53,0.00050173675956909,"HFE/DUOX1",0.0797240734904595,"hormone biosynthetic process"
"GO:0007042",2,22,18870,53,0.00172477395125463,"ATP6AP1/GRN",0.0797240734904595,"lysosomal lumen acidification"
"GO:0048844",2,25,18870,53,0.00222792618932709,"APOE/COMP",0.0797240734904595,"artery morphogenesis"
"GO:0006906",2,26,18870,53,0.00240925617231748,"STX10/GOSR1",0.0797240734904595,"vesicle fusion"
"GO:0002230",2,32,18870,53,0.00363751554758818,"TRIM44/ZC3H12A",0.0797240734904595,"positive regulation of defense response to virus by host"
"GO:2000379",2,32,18870,53,0.00363751554758818,"GRB2/ZC3H12A",0.0797240734904595,"positive regulation of reactive oxygen species metabolic process"
"GO:0050852",3,112,18870,53,0.00384306628068992,"EIF2B4/NFKBIZ/ZC3H12A",0.0797240734904595,"T cell receptor signaling pathway"
"GO:0014891",1,2,18870,53,0.00560964177665113,"GSN",0.0797240734904595,"striated muscle atrophy"
"GO:0032980",1,2,18870,53,0.00560964177665113,"NFKBIZ",0.0797240734904595,"keratinocyte activation"
"GO:0035349",1,2,18870,53,0.00560964177665113,"SLC25A17",0.0797240734904595,"coenzyme A transmembrane transport"
"GO:0043271",1,2,18870,53,0.00560964177665113,"PXK",0.0797240734904595,"negative regulation of monoatomic ion transport"
"GO:0046166",1,2,18870,53,0.00560964177665113,"TPI1",0.0797240734904595,"glyceraldehyde-3-phosphate biosynthetic process"
"GO:0061771",1,2,18870,53,0.00560964177665113,"APOE",0.0797240734904595,"response to caloric restriction"
"GO:0061944",1,2,18870,53,0.00560964177665113,"TRIM44",0.0797240734904595,"negative regulation of protein K48-linked ubiquitination"
"GO:0071830",1,2,18870,53,0.00560964177665113,"APOE",0.0797240734904595,"triglyceride-rich lipoprotein particle clearance"
"GO:0072393",1,2,18870,53,0.00560964177665113,"BICD2",0.0797240734904595,"microtubule anchoring at microtubule organizing center"
"GO:0080121",1,2,18870,53,0.00560964177665113,"SLC25A17",0.0797240734904595,"AMP transport"
"GO:1902175",1,2,18870,53,0.00560964177665113,"P4HB",0.0797240734904595,"regulation of oxidative stress-induced intrinsic apoptotic signaling pathway"
"GO:1903334",1,2,18870,53,0.00560964177665113,"GRN",0.0797240734904595,"positive regulation of protein folding"
"GO:1903923",1,2,18870,53,0.00560964177665113,"GSN",0.0797240734904595,"positive regulation of protein processing in phagocytic vesicle"
"GO:1904434",1,2,18870,53,0.00560964177665113,"HFE",0.0797240734904595,"positive regulation of ferrous iron binding"
"GO:1904437",1,2,18870,53,0.00560964177665113,"HFE",0.0797240734904595,"positive regulation of transferrin receptor binding"
"GO:1904825",1,2,18870,53,0.00560964177665113,"GAS2L1",0.0797240734904595,"protein localization to microtubule plus-end"
"GO:1905906",1,2,18870,53,0.00560964177665113,"APOE",0.0797240734904595,"regulation of amyloid fibril formation"
"GO:1990117",1,2,18870,53,0.00560964177665113,"NFKBIZ",0.0797240734904595,"B cell receptor apoptotic signaling pathway"
"GO:1990641",1,2,18870,53,0.00560964177665113,"HFE",0.0797240734904595,"response to iron ion starvation"
"GO:0043434",2,45,18870,53,0.00709323689314522,"STAT3/EIF2B4",0.0797240734904595,"response to peptide hormone"
