"TERM_ID","Count_A","M_A","N_A","n_A","pvalue_A","geneID_A","p.adjust_A","TERM_A","Count_B","M_B","N_B","n_B","pvalue_B","geneID_B","p.adjust_B","TERM_B"
"GO:0000122",7,969,191076,56,1.57748081936936e-08,"CDKN1C/CHD3/FOXO3/UBE2I/ZNF148/TP63/DKK1",1.71639696495096e-06,"negative regulation of transcription by RNA polymerase II",31,808,31072,534,3.25367737876251e-05,"ARID5A/ATF3/CREM/DNAJB4/EPO/ETS2/FGF9/FOXC1/GADD45A/ID4/IGF2/JDP2/JUND/KLF10/KLF4/MAFF/MAFK/MSX2/MYB/NANOG/NFATC2/NFIL3/NR4A2/NR4A3/PLK3/SIX1/SKIL/SNAI1/SNAI2/ZNF177/ZNF550",0.00385947101677918,"negative regulation of transcription by RNA polymerase II"
"GO:0006915",6,550,191076,56,1.59057574182116e-08,"CASP1/FOXO3/PRKCB/TP63/TNFRSF25/NISCH",1.71639696495096e-06,"apoptotic process",19,445,31072,534,0.000294524675707751,"COMP/CYFIP2/DLC1/EMP1/GADD45A/GADD45B/GZMA/GZMH/NR4A1/PHLDA1/PHLDA2/PLK3/PPP1R15A/RHOB/RIPK1/SIX1/STK17B/TNFRSF12A/ZC3H12A",0.0146608829289051,"apoptotic process"
"GO:0007165",7,1160,191076,56,5.34348339235563e-08,"CASP1/PKP1/PRKCB/TLE1/TNFRSF25/HBS1L/RHPN2",4.46715211600931e-06,"signal transduction",32,996,31072,534,0.000598436505784065,"ABL2/ALCAM/ANK3/BMP8B/CREM/DLC1/EPO/FAM83D/FGF9/GEM/GPRC5A/HBEGF/IL2RB/KIT/LEFTY2/MDK/NEDD9/NR4A1/NR4A2/NTF3/OGN/PDE5A/PDE8B/PSD/RHOB/RND1/RND2/RND3/TCP11L2/THBS4/TTR/VLDLR",0.0239374602313626,"signal transduction"
"GO:0032496",4,134,191076,56,8.25486969905258e-08,"DIO2/PTGER2/S100A7/CLDN1",5.75089255700663e-06,"response to lipopolysaccharide",11,122,31072,534,8.78278043608365e-06,"DUSP10/EPO/F2R/FMO1/FOSL2/PTGS2/SELE/SLPI/SOD2/THBD/TRIB1",0.00161603160023939,"response to lipopolysaccharide"
"GO:0010628",4,482,191076,56,1.32378379088182e-05,"PKP1/TLE1/DKK1/LAMP3",0.000291232433994,"positive regulation of gene expression",19,372,31072,534,2.85312672030115e-05,"ACTA1/ANK3/ATF3/CDH3/FGF9/FOXC1/HAND2/ID4/IL6/INHBA/ITGB3/KLF4/LDLR/LMNA/NFATC2/NFIL3/PPARGC1A/RIPK1/ZC3H12A",0.00374982368953865,"positive regulation of gene expression"
"GO:0006357",5,1483,191076,56,7.69548052548366e-05,"CKS2/FOXO3/PRKCB/ZNF148/TP63",0.00119137439246377,"regulation of transcription by RNA polymerase II",41,1125,31072,534,6.10864183054322e-06,"ARID5A/ATF3/CEBPD/CREB5/CREM/EGR2/EGR3/EMX2/ETS2/FOSL1/FOSL2/FOXC1/GLI1/HAND2/HOXA9/HOXB5/INHBA/JDP2/JUND/KLF10/KLF4/KLF9/MAFF/MAFK/MSX2/NANOG/NCOA7/NFATC2/NFIL3/NR4A1/NR4A2/NR4A3/PDLIM1/SALL3/SIX1/SOD2/TOX/TSC22D2/ZNF30/ZNF331/ZNF540",0.0012488778853555,"regulation of transcription by RNA polymerase II"
"GO:0030335",2,247,191076,56,0.00244760917448451,"UBE2I/CLDN1",0.00815768463999164,"positive regulation of cell migration",13,202,31072,534,5.21707960211736e-05,"F2R/FAM107A/FLT1/HAS2/HBEGF/KIT/MDK/NEDD9/NTF3/SNAI1/SNAI2/SOD2/SPHK1",0.00505232971994524,"positive regulation of cell migration"
"GO:0010838",1,15,191076,56,0.00438730945765664,"TP63",0.00991294785567825,"positive regulation of keratinocyte proliferation",5,13,31072,534,1.68980646725385e-06,"AREG/CDH3/HAS2/LRG1/MDK",0.000518207316624515,"positive regulation of keratinocyte proliferation"
"GO:0031668",1,17,191076,56,0.0049708538307961,"ADORA2B",0.0104412909611697,"cellular response to extracellular stimulus",3,13,31072,534,0.00126959895677284,"CDKN1A/FOSL1/NR4A2",0.0353948800070004,"cellular response to extracellular stimulus"
"GO:0042326",1,17,191076,56,0.0049708538307961,"CDKN1C",0.0104412909611697,"negative regulation of phosphorylation",3,15,31072,534,0.0019688249031101,"CDKN1A/CDKN2A/INHBA",0.046444074637469,"negative regulation of phosphorylation"
