"TERM_ID","Count_A","M_A","N_A","n_A","pvalue_A","geneID_A","p.adjust_A","TERM_A","Count_B","M_B","N_B","n_B","pvalue_B","geneID_B","p.adjust_B","TERM_B"
"GO:0007165",6,1160,191076,56,1.23870514649806e-06,"GRB2/GRN/RPS6KB2/STAT3/MTA1/ARHGAP26",0.000189063460583028,"signal transduction",32,996,31072,534,0.000598436505784065,"ABL2/ALCAM/ANK3/BMP8B/CREM/DLC1/EPO/FAM83D/FGF9/GEM/GPRC5A/HBEGF/IL2RB/KIT/LEFTY2/MDK/NEDD9/NR4A1/NR4A2/NTF3/OGN/PDE5A/PDE8B/PSD/RHOB/RND1/RND2/RND3/TCP11L2/THBS4/TTR/VLDLR",0.0239374602313626,"signal transduction"
"GO:0045944",6,1182,191076,56,1.38002525973013e-06,"EIF5A/RNASEL/STAT3/GMEB2/NFKBIZ/ZC3H12A",0.000189063460583028,"positive regulation of transcription by RNA polymerase II",39,1005,31072,534,2.40481583928993e-06,"ARID5A/ATF3/BCL3/CDON/CEBPD/CREM/CSF3/EGR2/EGR3/ETS2/FOSL1/FOSL2/FOXC1/GLI1/HAND2/HOXA9/HOXB5/ID4/IGF2/IL6/INHBA/JUND/KLF10/KLF4/LMO3/MAFF/MYB/NANOG/NCOA7/NFATC2/NR4A1/NR4A2/NR4A3/PPARGC1A/RIPK1/SERTAD1/SIX1/WNT2/ZC3H12A",0.000632123020613353,"positive regulation of transcription by RNA polymerase II"
"GO:0000122",5,969,191076,56,1.02357834208831e-05,"STAT3/CBX4/MTA1/MXD4/TRIM29",0.000645090287696233,"negative regulation of transcription by RNA polymerase II",31,808,31072,534,3.25367737876251e-05,"ARID5A/ATF3/CREM/DNAJB4/EPO/ETS2/FGF9/FOXC1/GADD45A/ID4/IGF2/JDP2/JUND/KLF10/KLF4/MAFF/MAFK/MSX2/MYB/NANOG/NFATC2/NFIL3/NR4A2/NR4A3/PLK3/SIX1/SKIL/SNAI1/SNAI2/ZNF177/ZNF550",0.00385947101677918,"negative regulation of transcription by RNA polymerase II"
"GO:0019221",3,140,191076,56,1.03712873114028e-05,"STAT3/DUOX1/NFKBIZ",0.000645090287696233,"cytokine-mediated signaling pathway",8,125,31072,534,0.00146882651256689,"CCR2/CSF3/CTSG/FOSL1/IL2RB/IL6/INHBA/KIT",0.0397447173988689,"cytokine-mediated signaling pathway"
"GO:0010628",4,482,191076,56,1.32378379088182e-05,"GSN/HFE/STAT3/ZC3H12A",0.000725433517403237,"positive regulation of gene expression",19,372,31072,534,2.85312672030115e-05,"ACTA1/ANK3/ATF3/CDH3/FGF9/FOXC1/HAND2/ID4/IL6/INHBA/ITGB3/KLF4/LDLR/LMNA/NFATC2/NFIL3/PPARGC1A/RIPK1/ZC3H12A",0.00374982368953865,"positive regulation of gene expression"
"GO:0045766",3,157,191076,56,1.46094133029968e-05,"GRN/STAT3/ZC3H12A",0.00072781440818566,"positive regulation of angiogenesis",8,125,31072,534,0.00146882651256689,"CCBE1/FLT1/ITGB3/LRG1/RHOB/SERPINE1/SPHK1/ZC3H12A",0.0397447173988689,"positive regulation of angiogenesis"
"GO:2000379",2,32,191076,56,4.16071631758224e-05,"GRB2/ZC3H12A",0.00134121914237357,"positive regulation of reactive oxygen species metabolic process",5,29,31072,534,0.000124226382713248,"AKR1C1/CDKN1A/GADD45A/RIPK1/ZC3H12A",0.0081634480068706,"positive regulation of reactive oxygen species metabolic process"
"GO:0006357",4,1483,191076,56,0.000963077265450022,"STAT3/MXD4/GMEB2/GTF2IRD2",0.00611569216760833,"regulation of transcription by RNA polymerase II",41,1125,31072,534,6.10864183054322e-06,"ARID5A/ATF3/CEBPD/CREB5/CREM/EGR2/EGR3/EMX2/ETS2/FOSL1/FOSL2/FOXC1/GLI1/HAND2/HOXA9/HOXB5/INHBA/JDP2/JUND/KLF10/KLF4/KLF9/MAFF/MAFK/MSX2/NANOG/NCOA7/NFATC2/NFIL3/NR4A1/NR4A2/NR4A3/PDLIM1/SALL3/SIX1/SOD2/TOX/TSC22D2/ZNF30/ZNF331/ZNF540",0.0012488778853555,"regulation of transcription by RNA polymerase II"
"GO:0055118",1,5,191076,56,0.00146454213140446,"ZC3H12A",0.00636959593658446,"negative regulation of cardiac muscle contraction",2,4,31072,534,0.00172874267926804,"PDE5A/ZC3H12A",0.0424118203980426,"negative regulation of cardiac muscle contraction"
"GO:0030335",2,247,191076,56,0.00244760917448451,"GRN/STAT3",0.00770856222768686,"positive regulation of cell migration",13,202,31072,534,5.21707960211736e-05,"F2R/FAM107A/FLT1/HAS2/HBEGF/KIT/MDK/NEDD9/NTF3/SNAI1/SNAI2/SOD2/SPHK1",0.00505232971994524,"positive regulation of cell migration"
"GO:1900745",1,31,191076,56,0.00904626929255936,"ZC3H12A",0.0139251561020296,"positive regulation of p38MAPK cascade",5,25,31072,534,5.88186714631719e-05,"GADD45A/GADD45B/HAND2/SPHK1/ZC3H12A",0.00515363597582077,"positive regulation of p38MAPK cascade"
"GO:0071479",1,37,191076,56,0.010787853224923,"GRB2",0.0153951655397339,"cellular response to ionizing radiation",4,31,31072,534,0.00187831641343423,"CDKN1A/GADD45A/RHOB/SNAI2",0.0454750289568288,"cellular response to ionizing radiation"
"GO:0006915",2,550,191076,56,0.0114933116237625,"COMP/ZC3H12A",0.0160262971242287,"apoptotic process",19,445,31072,534,0.000294524675707751,"COMP/CYFIP2/DLC1/EMP1/GADD45A/GADD45B/GZMA/GZMH/NR4A1/PHLDA1/PHLDA2/PLK3/PPP1R15A/RHOB/RIPK1/SIX1/STK17B/TNFRSF12A/ZC3H12A",0.0146608829289051,"apoptotic process"
"GO:0030154",2,591,191076,56,0.0131714205941464,"STAT3/ZC3H12A",0.0175192681689132,"cell differentiation",19,441,31072,534,0.000263225223614305,"APOLD1/BMP8B/CPNE5/CREM/ETS2/FGF9/FLT1/FOXC1/GADD45B/ID4/INHBA/MDK/NANOG/RHOB/SLC2A14/SYT1/TNFRSF12A/TTLL7/ZC3H12A",0.0146608829289051,"cell differentiation"
"GO:0030282",1,53,191076,56,0.0154173937028336,"COMP",0.0195120825615538,"bone mineralization",5,50,31072,534,0.00164859110689763,"COMP/FOSL2/KLF10/PTGS2/PTN",0.0424118203980426,"bone mineralization"
"GO:0045444",1,79,191076,56,0.0228950507444577,"RNASEL",0.026581541966023,"fat cell differentiation",10,67,31072,534,2.13079409069744e-07,"CEBPD/EGR2/FOSL2/GDF10/ID4/JDP2/KLF4/NR4A1/NR4A2/NR4A3",0.000161908703068396,"fat cell differentiation"
"GO:0032956",1,81,191076,56,0.0234679393109268,"RICTOR",0.0269610707387587,"regulation of actin cytoskeleton organization",6,69,31072,534,0.00120215518032251,"ABL2/DLC1/FAM107A/FZD10/ITGB3/NEDD9",0.035110563996721,"regulation of actin cytoskeleton organization"
