"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rat_Gene_Symbol_exact","HID","Human_Ortholog_Symbol"
"Spag5",754.295905034448,6.53904778790173,0.787335177698258,8.28532163631442,1.17790317663218e-16,1.45694843917634e-12,"Spag5",4718,"SPAG5"
"Dsg1",475.473153859038,4.97663404304472,0.829558693984957,7.23205459816441,4.75740847049903e-13,2.94221926858013e-09,"Dsg1",1463,"DSG1"
"Dsel",459.544321450399,3.23911834223195,0.519344868798446,6.2329691236466,4.57676406393461e-10,1.88699982356024e-06,"Dsel",12964,"DSEL"
"Ago4",482.036031265735,3.77882219216822,0.853769555300157,5.98884168271891,2.11340757928951e-09,4.22150243055736e-06,"Ago4",NA,NA
"Asprv1",196.36295566199,3.86712639162667,0.852723234220166,6.03469792475127,1.5926032160607e-09,4.22150243055736e-06,"Asprv1",NA,NA
"Fam124a",148.163114687065,-4.97655734967466,0.795178300985412,-5.96886622281389,2.38907890806868e-09,4.22150243055736e-06,"Fam124a",86241,"FAM124A"
"Plagl1",210.549982278064,4.75935580622518,0.823540237114483,5.9787247067501,2.2489123782686e-09,4.22150243055736e-06,"Plagl1",31401,"PLAGL1"
"Serpinb2",2514.06022763356,4.06707266598735,0.695379880356986,5.900739581875,3.61875710775764e-09,5.59505083323178e-06,"Serpinb2",20571,"SERPINB2"
"Dcbld1",160.207182957313,-4.08652411512793,0.847441175505874,-5.86875925419632,4.3906842920418e-09,5.88131116328804e-06,"Dcbld1",12010,"DCBLD1"
"Kremen1",142.628413023748,-4.20309357846751,0.844360372291912,-5.85553110713954,4.75488007380389e-09,5.88131116328804e-06,"Kremen1",12935,"KREMEN1"
"Xk",193.849515333079,-4.53871806311377,0.82472323899772,-5.71944718594353,1.06871185987859e-08,1.20171790862166e-05,"Xk",36393,"XK"
"Pitx1",2112.05400246259,2.56106248381761,0.450378930989899,5.68647643465778,1.29687271854582e-08,1.31871476608276e-05,"Pitx1",20584,"PITX1"
"Wnk2",169.110939736555,-4.43187504852082,0.799201178785633,-5.67511088050415,1.38598851637771e-08,1.31871476608276e-05,"Wnk2",19155,"WNK2"
"Dusp27",188.131096980559,-4.41856184836704,0.833308101910073,-5.56208838986325,2.66565209121116e-08,2.35510362258506e-05,"Dusp27",NA,NA
"Sh3gl2",269.985352286374,-2.92503775922356,0.862961107554477,-5.54621000105994,2.91928177823476e-08,2.40723975433238e-05,"Sh3gl2",20652,"SH3GL2"
"Art3",165.045177867504,-4.28737017949755,0.840019253651192,-5.50806340210305,3.62802747700698e-08,2.49305954794996e-05,"Art3",911,"ART3"
"Ffar4",125.212582437066,-3.73643988581507,0.854013996396019,-5.51451144153523,3.497501550723e-08,2.49305954794996e-05,"Ffar4",18769,"FFAR4"
"Lrrc17",230.650346656615,-4.10557206477947,0.84304490997695,-5.51084180013629,3.57121594317844e-08,2.49305954794996e-05,"Lrrc17",55929,"LRRC17"
"Siglec15",119.730925691996,-3.74595518956606,0.853749807350737,-5.49054835025168,4.00687780026148e-08,2.60847744797022e-05,"Siglec15",52643,"SIGLEC15"
"Zswim5",105.246346147909,3.27972038412726,0.860724319468724,5.27919215563059,1.29754676876577e-07,8.02467799143188e-05,"Zswim5",18958,"ZSWIM5"
"Bbs10",113.442682403925,4.14025177925806,0.825182347222325,5.26233186869509,1.42239718598531e-07,8.37791942545351e-05,"Bbs10",49781,"BBS10"
"Hpse2",163.74004919364,-3.98276770933063,0.776207166307755,-5.22049367085053,1.7844680593216e-07,0.000100327661026131,"Hpse2",19680,"HPSE2"
