"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"SLITRK6",1.03079730416667,8.84901753758333,9.4384704158703,1.58000541658073e-07,0.00379906582597302
"THC2296596",-1.51348293775,7.23647720629167,-9.04281785647129,2.68488890917613e-07,0.00379906582597302
"GLI1",-0.855528655166666,8.906528327,-8.63564858729991,4.71652281968373e-07,0.00379906582597302
"A_32_P171043",-1.34883325391667,9.14527946170833,-8.6099008541296,4.89066146494982e-07,0.00379906582597302
"H19",-1.97237220141667,10.2192343495417,-8.35905268950661,6.99050967516116e-07,0.00434418233253215
"THC2374163",-0.640992640333333,6.28758768441667,-8.10211789828665,1.01566232738277e-06,0.00525977663940625
"CCBE1",-0.868747803916666,7.09281240304167,-7.9302454051756,1.30981011547833e-06,0.00550367830891018
"FMO2",-0.752284905333333,7.87457260775,-7.799142949455,1.59413957196806e-06,0.00550367830891018
"MGC16121",-1.13615784975,11.7948260184583,-7.60594927097858,2.13773240947884e-06,0.00603851103884787
"ALCAM",0.513848633000001,7.71831026691667,7.46638228971107,2.65026587565129e-06,0.0061015852234187
"THC2376725",-0.882425986666666,11.550822075,-7.45776267914359,2.68589750450571e-06,0.0061015852234187
"WEE1",1.02918274575,8.02977643645833,7.38457224439478,3.00958046219139e-06,0.0061015852234187
"LOC63920",-0.781665649333334,8.96230163258333,-7.30218652320953,3.42367132302357e-06,0.00620907860133004
"BC069781",-0.946321298416667,9.181336507875,-7.20527458110719,3.98880383726483e-06,0.00620907860133004
"THC2340695",0.898696675500001,9.06492252925,7.14584855297306,4.38322683776599e-06,0.00620907860133004
"EMX2OS",-1.128178175,12.2306698283333,-7.13036227707842,4.49261316956671e-06,0.00620907860133004
"FLJ14397",-0.562401112083333,9.32998268870833,-7.12319100044756,4.54423654769382e-06,0.00620907860133004
"THC2378401",-0.732374362749998,9.38984863920833,-7.11374147501127,4.61321509859506e-06,0.00620907860133004
"COLEC12",-1.39768744441667,10.9269562802917,-7.11292408821287,4.61923330960029e-06,0.00620907860133004
"LOC92312",-0.805644140083332,7.94076542970833,-7.06390106225461,4.9957184936036e-06,0.00620907860133004
