"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"00410",22,-0.292709149271448,-1.41250224851996,0.00199600798403194,"6723/1892/224/501/1962/223/3030/217/6611/18/1807/26275/314/34/23417/51733/1806/84735/2572/2571/219/8639",0.00588013162863462
"00562",57,-0.36375871546948,-2.45058503053124,0.00199600798403194,"7167/138429/5333/64768/8871/79837/5331/55361/3628/3613/5298/55586/55300/56623/27124/5287/113026/8394/5288/253430/84812/51477/4952/10423/5291/3706/89869/3612/3636/9562/8396/51763/23396/5297/3633/4329/3705/51196/5728/3707/23236/5294/8867/5330/5286/5293/3632/5289/200576/5335/5290/5336/3631/5332/8395/5305/8821",0.00588013162863462
"00604",15,-0.529505876303546,-1.70275936822768,0.00199600798403194,"8705/27090/2720/30815/9197/81849/6482/6483/3074/29906/8869/3073/6489/2583/256435",0.00588013162863462
"00910",21,-0.283455779204263,-1.22001192201967,0.00199600798403194,"23632/377677/2746/27165/771/1373/2747/760/767/2752/1491/11238/762/3034/440/768/766/275/761/2744/759",0.00588013162863462
"02010",44,-0.29186934680297,NA,0.00199600798403194,"10058/368/4363/11194/26154/10057/5244/64241/6891/6890/89845/154664/24/5825/64137/23461/23457/1244/23456/22/8647/10347/8714/85320/21/19/5826/1080/9619/20/215/10349/64240/10351/10060/10257/94160/225/10350/23460/340273/9429/6833/5243",0.00588013162863462
"04012",87,-0.259102147683582,NA,0.00199600798403194,"1978/1026/2069/6199/5296/3265/6714/815/10298/2065/2064/56924/208/4893/2002/7039/4609/5582/27/374/5605/3725/1399/3845/1956/572/3084/5604/5595/23624/6416/2885/6464/5894/1398/5609/5058/369/2475/207/6198/8440/1839/145957/5602/816/4690/5291/2932/25/6776/5062/57144/5594/53358/2066/673/1950/9542/10718/817/5578/5599/5747/23533/5294/867/5063/5295/868/5601/5293/2549/685/6777/5335/5290/1027/25759/818/8503/6655/5336/6654/10000/399694/5579",0.00588013162863462
"04020",171,-0.366239066610066,NA,0.00199600798403194,"2769/4842/8877/5333/623/292/11261/3269/815/624/51806/7416/5261/1129/2065/136/2064/7417/5331/63928/487/56413/153/22953/5255/5582/3710/3363/488/810/5731/3357/5257/5260/293/1956/2767/3358/5613/5256/2902/2905/2906/7419/113026/163688/492/4846/8913/5737/108/4923/5724/109/777/84812/5530/5021/6261/5481/56848/3709/2911/816/776/3362/6547/57105/154/3706/135/113/89869/6543/6870/2925/1812/85366/887/5027/2149/5534/1133/2903/1139/5733/801/2066/5566/2778/91807/553/51196/7125/155/552/5156/817/5159/3707/808/5578/9630/952/115/291/5535/490/7201/778/4843/805/3360/8912/5153/3973/2776/2915/774/196883/2774/493/3356/6865/23236/114/5136/7220/814/5025/5330/5024/10800/2185/8911/185/9127/779/1909/775/5335/5532/5533/1131/3361/3274/818/683/3708/6546/1910/147/5336/4638/5026/773/489/6869/107/6915/491/6263/5332/5137/148/5350/146/5023/6262/5579/5567",0.00588013162863462
"04062",178,-0.414774993974885,NA,0.00199600798403194,"5296/3265/9547/58191/4793/2921/6347/2783/5331/208/7074/4893/5590/2931/2773/51764/59345/2785/1399/2826/10850/6367/9564/3845/56288/4792/5879/5604/387/8517/5595/6372/6364/5970/2920/5613/2885/6774/6464/5894/1398/2787/5058/3576/1147/2829/108/207/10344/6772/7410/4790/109/998/156/2833/2868/6011/6369/2919/1445/2870/1234/6375/10451/55970/2782/10803/1233/6357/5291/5908/113/2932/8976/1230/643/4283/5580/5594/2790/6348/2771/53358/131890/3627/6773/6373/6366/6356/6846/10681/3579/5566/112/9560/6355/673/414062/3055/1232/3577/729230/2784/115/56477/2786/408/6374/5829/26230/2309/6362/6363/1235/5747/3551/653361/196883/6376/23533/2793/23236/114/5294/7409/5880/3718/5295/6351/2770/57580/10663/1794/5330/7454/6387/6352/4067/409/5293/2185/94235/6777/2791/6358/2788/2268/9844/111/5290/25759/54331/2869/8503/3702/3717/1236/6655/6360/7852/9475/1524/6654/10000/157/6368/107/5906/5332/6093/5196/5473/399694/10235/5197/5579/5567",0.00588013162863462
"04070",78,-0.423840444495774,-2.54996525451954,0.00199600798403194,"1040/5333/5296/64768/51806/8871/79837/5331/55361/5582/3710/3628/1609/3613/5298/810/55300/56623/27124/5287/113026/163688/8394/5288/160851/1606/84812/3709/4952/10423/5291/3706/89869/3612/8525/3636/9162/8396/51763/23396/801/5297/3633/3705/51196/5728/3707/808/5578/805/23533/23236/5294/8867/5295/5330/5286/8526/5293/3632/5289/8527/200576/5335/5290/8503/3708/3635/8760/5336/3631/1607/5332/8395/5305/8821/1608/5579",0.00588013162863462
"04260",66,-0.259882117131071,NA,0.00199600798403194,"1329/1351/1537/1347/7171/7384/481/1349/7386/6548/1340/29796/483/476/10975/125965/7385/784/488/7170/1337/7388/9377/55799/440567/1327/7139/785/1345/10479/27089/786/776/59284/1350/9167/27092/480/27091/486/478/4634/23439/93589/778/1346/782/7381/59283/781/84701/59285/10369/4624/9254/779/4625/775/6546/70/783/7169/7168/477/482/6262",0.00588013162863462
