"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"00010",34,-0.553339628339083,NA,0.00199600798403194,"26330/2026/218/5214/3939/83440/3948/10327/3099/2821/84532/3945/5315/5211/55276/669/501/223/230/55902/3098/1737/131/5106/5236/1738/8789/5213/5224/5162/130589/224/2027/220",0.00414704571439645
"00020",26,-0.548481601948458,-2.61795650237948,0.00199600798403194,"3419/1431/47/50/2271/1743/8802/6390/55753/4967/3418/3421/6392/4190/3417/6391/6389/1737/5106/1738/5091/48/8801/5162/4191/8803",0.00414704571439645
"00040",10,-0.681198875897875,-1.63385475360163,0.00199600798403194,"51084/51181/2990/27294/7360/9942/7358/224/54579/231",0.00414704571439645
"00051",22,-0.453460206952705,NA,0.00199600798403194,"5373/2762/4351/8776/5214/6652/29085/29925/3099/29926/5372/5208/5211/3795/230/3098/8898/8789/5213/9107/231/8790",0.00414704571439645
"00052",19,-0.377827713639308,NA,0.00199600798403194,"2582/2548/5214/2595/2720/2584/2717/2585/2683/3099/7360/5211/8704/55276/3098/5236/5213/2592/231",0.00414704571439645
"00053",5,-0.785211626721061,-1.7936535797946,0.00199600798403194,"501/223/7358/224/54579",0.00414704571439645
"00062",8,-0.649813021797568,-2.17205994631997,0.00199600798403194,"51102/1892/3033/10449/3032/5538/3030/9374",0.00414704571439645
"00071",28,-0.569975613268985,-3.08868656176256,0.00199600798403194,"2639/34/38/2180/1892/3033/2182/10449/1376/1374/3032/36/1632/501/223/126129/35/8310/1962/131/2181/51703/33/3030/37/224/1375/51",0.00414704571439645
"00100",15,-0.535897937946342,-1.92275468944484,0.00199600798403194,"6646/10682/6307/2222/3988/1717/50814/51478/10826/4047/6713/1595/6309/7108/1718",0.00414704571439645
"00130",5,-0.55749578895147,-1.2958701733396,0.00199600798403194,"27235/10229/51805/84274/51004",0.00414704571439645
"00140",11,-0.550205425990357,NA,0.00199600798403194,"79644/1312/7923/6820/6715/51478/3291/3290/51144/54579/3294",0.00414704571439645
"00190",64,-0.30623943450471,NA,0.00199600798403194,"56901/4724/529/1349/4707/4713/526/1337/535/84701/4700/29796/374291/4719/4712/245973/4717/4722/533/10063/50617/4728/27089/4697/1350/1327/4698/9114/51382/537/9550/1537/6390/528/1353/51606/1351/8992/27068/10312/4716/7385/125965/523/6392/1355/55967/9377/9296/9167/4720/6391/5464/4704/6389/4711/155066/64077/7384/4702/4729/1339/4706/4723",0.00414704571439645
