PATH,Nh_POP,ES_POP,NES_POP,pvalue_POP,p.adjust_POP,leadingEdge_POP,Nh_SUI36h,ES_SUI36h,NES_SUI36h,pvalue_SUI36h,p.adjust_SUI36h,leadingEdge_SUI36h,Same_direction,Pathway_name,Disease_adjusted_match,Mechanistically_specific
562,57,-0.36375871546948,-2.45058503053124,0.0019960079840319,0.0058801316286346,7167/138429/5333/64768/8871/79837/5331/55361/3628/3613/5298/55586/55300/56623/27124/5287/113026/8394/5288/253430/84812/51477/4952/10423/5291/3706/89869/3612/3636/9562/8396/51763/23396/5297/3633/4329/3705/51196/5728/3707/23236/5294/8867/5330/5286/5293/3632/5289/200576/5335/5290/5336/3631/5332/8395/5305/8821,44,-0.209671810875271,,0.0019960079840319,0.0041470457143964,3628/5287/5290/5336/51477/5286/5333/4952/8867/8394/200576/5728/51196/8396/55300/3632/56623/3636/8871/23396/4329/3612/5331/5332/5297/113026/51763/10423/5289/3613/79837/8395/5293/3631/3705/5335/5305/23236/64768/253430/5298/84812/5291/8821,True,Inositol phosphate metabolism,False,False
410,22,-0.292709149271448,-1.41250224851996,0.0019960079840319,0.0058801316286346,6723/1892/224/501/1962/223/3030/217/6611/18/1807/26275/314/34/23417/51733/1806/84735/2572/2571/219/8639,12,-0.550463559559761,-1.87746704434128,0.0019960079840319,0.0041470457143964,34/6611/1892/6723/26275/501/223/1962/1806/3030/23417/224,True,beta-Alanine metabolism,False,False
4270,110,-0.491916929788686,-3.74179205368323,0.0019960079840319,0.0058801316286346,51806/5499/100137049/8681/136/5331/50487/123745/5582/3710/5605/810/2767/5604/387/5595/5320/5613/5894/163688/369/140465/81579/108/23365/109/8399/64600/3709/776/135/113/5501/9826/5321/284541/85366/5580/5594/5500/27094/1579/801/5566/2778/112/91807/553/673/5739/552/10242/808/5578/115/10267/2768/4881/10672/10266/778/5581/805/4637/157855/9138/2776/196883/10268/23236/114/8398/4882/10203/5330/72/5322/4660/5583/185/779/1909/2983/775/5588/27345/3779/111/4629/800/3708/2982/9475/3778/147/4638/4659/107/59/2977/5332/94274/148/10335/6093/10398/5592/146/5579/5567,72,-0.276116202260649,,0.0019960079840319,0.0041470457143964,5322/3709/810/9475/9826/136/2778/3710/5613/552/9138/2768/5320/800/4882/5582/4659/112/115/94274/2776/8399/5567/4881/196883/113/5595/5501/6093/5578/4637/5499/10672/10267/5583/5594/3708/5321/72/5331/5332/81579/673/111/146/5500/10203/779/5604/4638/4629/10398/8398/369/85366/59/5894/5605/5580/5588/2767/23236/3778/776/3779/775/5579/10268/23365/4660/109/1909,True,Vascular smooth muscle contraction,False,True
4350,81,-0.202675946046049,-1.07198612315773,0.0019960079840319,0.0058801316286346,1311/6199/650/5518/1030/268/6500/1874/9978/4609/655/269/4092/4088/7060/387/5595/7057/7058/5515/7059/8646/8454/7043/6198/57154/3397/5519/656/6667/4838/5933/5516/7124/7042/5308/5594/9372/151449/7027/4090/659/654/7040/3398/652/4087/3400/83729/7044/64750/653/130399/2033/3625/4091/10637/10468/1634/1875/92/3624/3399/7046/90/353500/4089/1387/93/9241/657/4086/5934/9765/392255/4052/9475/4093/7048/658/6093,59,-0.218988879185899,,0.0019960079840319,0.0041470457143964,1387/4052/4086/653/9475/4092/6667/7057/1874/6199/7058/64750/93/7040/652/4609/5519/6198/657/655/57154/130399/2033/7046/6500/650/5595/92/6093/5594/659/3397/7043/1634/4089/3398/5933/4087/3400/5518/654/5308/5934/4091/1875/9765/9978/151449/10468/9372/7042/3624/4090/90/8454/8646/4088/7048/3399,True,TGF-beta signaling pathway,False,True
4260,66,-0.259882117131071,,0.0019960079840319,0.0058801316286346,1329/1351/1537/1347/7171/7384/481/1349/7386/6548/1340/29796/483/476/10975/125965/7385/784/488/7170/1337/7388/9377/55799/440567/1327/7139/785/1345/10479/27089/786/776/59284/1350/9167/27092/480/27091/486/478/4634/23439/93589/778/1346/782/7381/59283/781/84701/59285/10369/4624/9254/779/4625/775/6546/70/783/7169/7168/477/482/6262,45,-0.491614428197353,,0.0019960079840319,0.0041470457143964,7139/783/1349/486/1337/7170/476/84701/29796/6546/7171/784/6548/27089/483/1350/1327/1537/482/488/1351/55799/7385/125965/779/9377/4634/9167/7168/776/781/7169/7384/775/4625/59285/4633/786/1339/70/7134/10479/481/477/782,True,Cardiac muscle contraction,False,False
4020,171,-0.366239066610066,,0.0019960079840319,0.0058801316286346,2769/4842/8877/5333/623/292/11261/3269/815/624/51806/7416/5261/1129/2065/136/2064/7417/5331/63928/487/56413/153/22953/5255/5582/3710/3363/488/810/5731/3357/5257/5260/293/1956/2767/3358/5613/5256/2902/2905/2906/7419/113026/163688/492/4846/8913/5737/108/4923/5724/109/777/84812/5530/5021/6261/5481/56848/3709/2911/816/776/3362/6547/57105/154/3706/135/113/89869/6543/6870/2925/1812/85366/887/5027/2149/5534/1133/2903/1139/5733/801/2066/5566/2778/91807/553/51196/7125/155/552/5156/817/5159/3707/808/5578/9630/952/115/291/5535/490/7201/778/4843/805/3360/8912/5153/3973/2776/2915/774/196883/2774/493/3356/6865/23236/114/5136/7220/814/5025/5330/5024/10800/2185/8911/185/9127/779/1909/775/5335/5532/5533/1131/3361/3274/818/683/3708/6546/1910/147/5336/4638/5026/773/489/6869/107/6915/491/6263/5332/5137/148/5350/146/5023/6262/5579/5567,92,-0.328235231145744,,0.0019960079840319,0.0041470457143964,8877/3709/810/5023/624/5336/5350/5156/5333/5533/136/5731/2778/3710/2065/5613/552/3357/489/1956/292/51196/817/6546/5582/5530/154/115/1910/2776/7220/2769/5724/5257/5567/8913/6543/196883/2902/113/5578/3708/3360/493/488/5331/5332/113026/5159/146/153/6261/5136/7416/5260/779/5261/2185/4638/773/5255/56848/85366/63928/7417/5335/10800/490/2064/2767/23236/2906/776/2149/5532/8912/5025/816/291/775/5579/7419/84812/4846/5027/7134/11261/7125/487/109/2774/1909,True,Calcium signaling pathway,False,True
4012,87,-0.259102147683582,,0.0019960079840319,0.0058801316286346,1978/1026/2069/6199/5296/3265/6714/815/10298/2065/2064/56924/208/4893/2002/7039/4609/5582/27/374/5605/3725/1399/3845/1956/572/3084/5604/5595/23624/6416/2885/6464/5894/1398/5609/5058/369/2475/207/6198/8440/1839/145957/5602/816/4690/5291/2932/25/6776/5062/57144/5594/53358/2066/673/1950/9542/10718/817/5578/5599/5747/23533/5294/867/5063/5295/868/5601/5293/2549/685/6777/5335/5290/1027/25759/818/8503/6655/5336/6654/10000/399694/5579,69,-0.206367226316893,,0.0019960079840319,0.0041470457143964,25759/2475/5063/10298/5295/5290/6464/5336/1978/56924/9542/6199/1398/2065/6777/3725/207/6654/2932/1956/8440/867/23624/817/4609/27/5582/10000/6198/6655/5296/4893/4690/5595/685/572/3265/5578/5594/374/5609/673/1027/208/5599/5747/6714/5293/5604/5058/369/6416/5894/5605/5335/2064/2002/1026/7039/2885/816/868/5579/145957/5601/2549/5291/6776/1839,True,ErbB signaling pathway,False,True
910,21,-0.283455779204263,-1.22001192201967,0.0019960079840319,0.0058801316286346,23632/377677/2746/27165/771/1373/2747/760/767/2752/1491/11238/762/3034/440/768/766/275/761/2744/759,12,-0.39355861799222,,0.0019960079840319,0.0041470457143964,2744/768/771/377677/760/27165/440/275/2752/11238/23632/761,True,Nitrogen metabolism,False,False
4514,128,-0.352549731385563,,0.0019960079840319,0.0058801316286346,100506658/5818/23308/1001/1364/3383/5792/137075/3117/6385/50848/3135/5819/5817/999/80381/5133/29126/6382/10686/9073/1462/9019/9076/8506/6401/1366/1365/149461/8174/965/3696/9075/958/26047/24146/23562/942/3685/6614/3119/214/7412/3655/3122/4267/3695/3133/1013/3105/29851/51208/920/3107/57502/9672/926/3109/57555/6403/925/941/57863/3113/6900/54413/4897/3123/1493/3112/1000/49861/2734/1003/4099/3106/9379/3897/6383/23114/3111/1272/3108/3676/5010/3115/3689/923/3684/6693/3127/3385/4756/53842/3118/22871/5175/6404/959/3134/6402/3384/914/933/947/940/4685/80380/25945/23705/4684/257194/9071/3680/90952/10666/7122/5788/3683/58494/83700/3688/9378/5797/9369/1002/4359/8516,56,-0.270805199828077,,0.0019960079840319,0.0041470457143964,3695/9076/5792/5788/1366/4684/83700/214/1001/5797/8506/9019/3696/3680/3109/7412/3655/1462/3685/947/2734/3122/6404/57863/57555/23705/3689/3108/1365/4756/9672/999/3897/50848/958/3688/9075/6385/58494/8516/6382/3383/3384/920/942/1364/80381/9073/90952/6383/5175/6614/4359/1003/137075/6403,True,Cell adhesion molecules (CAMs),False,True
4720,69,-0.31413532858097,,0.0019960079840319,0.0058801316286346,3265/11261/815/51806/5499/5331/4893/63928/5582/3710/5605/810/468/3845/5604/5595/5613/2902/2905/5894/2906/163688/369/5530/3709/5502/2911/816/6197/5908/5501/6195/27330/5594/5534/5500/2903/801/5566/673/2033/817/808/5578/5535/10411/805/2904/2776/2915/6196/23236/114/2890/1387/2891/814/5330/775/5532/5533/818/3708/4659/107/5906/5332/5579/5567,43,-0.244388174337837,,0.0019960079840319,0.0041470457143964,3709/1387/810/6195/468/5533/3710/5613/817/5582/4659/5530/2776/5567/2033/4893/2902/5595/5501/3265/5502/5578/5499/5594/3708/5331/5332/673/5500/5604/369/6197/5894/63928/5605/23236/2906/5532/816/775/5579/11261/6196,True,Long-term potentiation,False,False
