TERM_ID,Count,M,N,n,pvalue,geneID,p.adjust,PATH_NAME
4270,3,116,191076,56,5.90251894018675e-06,ADORA2B/NPR1/PRKCB,0.0002739838015425,Vascular smooth muscle contraction
4110,3,124,191076,56,7.21010004059235e-06,CDKN1C/MAD2L1/MCM4,0.0002739838015425,Cell cycle
5223,2,54,191076,56,0.0001195438340218,FOXO3/PRKCB,0.0030284437952193,Non-small cell lung cancer
5416,2,70,191076,56,0.0002011392809684,HLA-DRB4/SGCA,0.0032346012578651,Viral myocarditis
5140,2,72,191076,56,0.0002128027143332,HLA-DRB4/PRKCB,0.0032346012578651,Leishmaniasis
4640,2,88,191076,56,0.0003177466050462,HLA-DRB4/IL1R2,0.0040247903305854,Hematopoietic cell lineage
5146,2,106,191076,56,0.0004603667125297,PRKCB/IL1R2,0.0049982671646085,Amoebiasis
4670,2,116,191076,56,0.0005507417532674,PRKCB/CLDN1,0.0051416273649831,Leukocyte transendothelial migration
4530,2,132,191076,56,0.0007117561276898,PRKCB/CLDN1,0.0051416273649831,Tight junction
4514,2,133,191076,56,0.00072248683401,HLA-DRB4/CLDN1,0.0051416273649831,Cell adhesion molecules
4120,2,135,191076,56,0.0007441829080896,UBE2I/SAE1,0.0051416273649831,
4310,2,150,191076,56,0.0009168421116732,PRKCB/DKK1,0.0058066667072642,
230,2,162,191076,56,0.0010675270770204,NME1/NPR1,0.0062409275271963,
4020,2,177,191076,56,0.0012714535571525,ADORA2B/PRKCB,0.0069021764531138,
4062,2,189,191076,56,0.001446957350038,FOXO3/PRKCB,0.0073312505735261,
4060,2,265,191076,56,0.0028086279844489,IL1R2/TNFRSF25,0.0124782559561513,
4010,2,268,191076,56,0.0028710863809485,PRKCB/IL1R2,0.0124782559561513,
4080,2,272,191076,56,0.0029553764106674,ADORA2B/PTGER2,0.0124782559561513,
1100,3,1130,191076,56,0.0045290200553367,NME1/AKR1B10/CKMT1A,0.018116080221347,
591,1,30,191076,56,0.0087557126722148,AKR1B10,0.0302470074131059,
650,1,30,191076,56,0.0087557126722148,AKR1B10,0.0302470074131059,
5310,1,30,191076,56,0.0087557126722148,HLA-DRB4,0.0302470074131059,
5143,1,35,191076,56,0.0102076595260537,PRKCB,0.0315337248113135,
51,1,36,191076,56,0.0104977981406263,AKR1B10,0.0315337248113135,
3030,1,36,191076,56,0.0104977981406263,MCM4,0.0315337248113135,
5330,1,37,191076,56,0.010787853224923,HLA-DRB4,0.0315337248113135,
5332,1,41,191076,56,0.0119472387314815,HLA-DRB4,0.0317310921352124,
4960,1,42,191076,56,0.0122368765184371,PRKCB,0.0317310921352124,
4940,1,43,191076,56,0.012526430916685,HLA-DRB4,0.0317310921352124,
4973,1,44,191076,56,0.0128159019497982,PRKCB,0.0317310921352124,
4672,1,48,191076,56,0.0139729529021033,HLA-DRB4,0.0317310921352124,
5213,1,52,191076,56,0.0151286718962865,FOXO3,0.0317310921352124,
5320,1,52,191076,56,0.0151286718962865,HLA-DRB4,0.0317310921352124,
5014,1,53,191076,56,0.0154173937028336,CASP1,0.0317310921352124,
330,1,54,191076,56,0.0157060323796031,CKMT1A,0.0317310921352124,
5110,1,54,191076,56,0.0157060323796031,PRKCB,0.0317310921352124,
5150,1,55,191076,56,0.0159945879500968,HLA-DRB4,0.0317310921352124,
4623,1,56,191076,56,0.0162830604378064,CASP1,0.0317310921352124,
5130,1,56,191076,56,0.0162830604378064,CLDN1,0.0317310921352124,
4621,1,58,191076,56,0.0168597562588163,CASP1,0.032033536891751,
5214,1,65,191076,56,0.0188755779751295,PRKCB,0.0333480873958468,
4720,1,70,191076,56,0.020312964714299,PRKCB,0.0333480873958468,
4730,1,70,191076,56,0.020312964714299,PRKCB,0.0333480873958468,
4971,1,74,191076,56,0.0214613848041476,PRKCB,0.0333480873958468,
5412,1,74,191076,56,0.0214613848041476,SGCA,0.0333480873958468,
4662,1,75,191076,56,0.0217482831740646,PRKCB,0.0333480873958468,
4370,1,76,191076,56,0.0220350989297012,PRKCB,0.0333480873958468,
4612,1,76,191076,56,0.0220350989297012,HLA-DRB4,0.0333480873958468,
4070,1,78,191076,56,0.0226084826915504,PRKCB,0.0333480873958468,
4146,1,79,191076,56,0.0228950507444577,CRAT,0.0333480873958468,
4664,1,79,191076,56,0.0228950507444577,PRKCB,0.0333480873958468,
4974,1,81,191076,56,0.0234679393109268,COL17A1,0.0333480873958468,
3015,1,83,191076,56,0.0240404979804417,HBS1L,0.0333480873958468,
5410,1,83,191076,56,0.0240404979804417,SGCA,0.0333480873958468,
4914,1,86,191076,56,0.0248987178359047,MAD2L1,0.0333480873958468,
4012,1,87,191076,56,0.0251846263745779,PRKCB,0.0333480873958468,
4970,1,89,191076,56,0.0257561964719264,PRKCB,0.0333480873958468,
4540,1,90,191076,56,0.0260418580771536,PRKCB,0.0333480873958468,
5414,1,90,191076,56,0.0260418580771536,SGCA,0.0333480873958468,
5323,1,91,191076,56,0.0263274374177738,HLA-DRB4,0.0333480873958468,
4666,1,94,191076,56,0.0271836820845569,PRKCB,0.0338681940725627,
240,1,99,191076,56,0.0286091134067037,NME1,0.0341166471573261,
4912,1,101,191076,56,0.0291787113845552,PRKCB,0.0341166471573261,
4916,1,101,191076,56,0.0291787113845552,PRKCB,0.0341166471573261,
4972,1,101,191076,56,0.0291787113845552,PRKCB,0.0341166471573261,
4114,1,112,191076,56,0.0323056415826681,MAD2L1,0.0372004357618603,
4142,1,121,191076,56,0.0348566797312471,LAMP3,0.0395389202921608,
4722,1,127,191076,56,0.0365537011964359,FOXO3,0.0408541366313107,
5145,1,132,191076,56,0.0379656468116389,HLA-DRB4,0.0412656143257095,
5160,1,134,191076,56,0.0385298558440911,CLDN1,0.0412656143257095,
4650,1,136,191076,56,0.0390937398875143,PRKCB,0.0412656143257095,
5322,1,136,191076,56,0.0390937398875143,HLA-DRB4,0.0412656143257095,
3013,1,151,191076,56,0.0433125297229645,UBE2I,0.0450594333314223,
4145,1,153,191076,56,0.0438736587700691,HLA-DRB4,0.0450594333314223,
4510,1,200,191076,56,0.0569675301817099,PRKCB,0.0577270972507993,
5200,1,326,191076,56,0.0912075228034602,PRKCB,0.0912075228034602,
