TERM_ID,Count,M,N,n,pvalue,geneID,p.adjust,PATH_NAME
4640,2,88,191076,35,0.0001235407403313,HLA-DRB4/IL1R2,0.0035807967802786,Hematopoietic cell lineage
4110,2,124,191076,35,0.000245096312514,CDKN1C/MCM4,0.0035807967802786,Cell cycle
4120,2,135,191076,35,0.0002903348740766,UBE2I/SAE1,0.0035807967802786,Ubiquitin mediated proteolysis
4080,2,272,191076,35,0.0011645613675083,ADORA2B/PTGER2,0.0107721926494519,Neuroactive ligand-receptor interaction
591,1,30,191076,35,0.0054810400909937,AKR1B10,0.0217279219025165,Linoleic acid metabolism
650,1,30,191076,35,0.0054810400909937,AKR1B10,0.0217279219025165,Butanoate metabolism
5310,1,30,191076,35,0.0054810400909937,HLA-DRB4,0.0217279219025165,Asthma
51,1,36,191076,35,0.0065737407055456,AKR1B10,0.0217279219025165,Fructose and mannose metabolism
3030,1,36,191076,35,0.0065737407055456,MCM4,0.0217279219025165,DNA replication
5330,1,37,191076,35,0.0067557440507884,HLA-DRB4,0.0217279219025165,Allograft rejection
5332,1,41,191076,35,0.0074834335688396,HLA-DRB4,0.0217279219025165,
4940,1,43,191076,35,0.0078470840884238,HLA-DRB4,0.0217279219025165,
4672,1,48,191076,35,0.0087556442144338,HLA-DRB4,0.0217279219025165,
5320,1,52,191076,35,0.0094819103346903,HLA-DRB4,0.0217279219025165,
5014,1,53,191076,35,0.0096633960806613,CASP1,0.0217279219025165,
5150,1,55,191076,35,0.0100262706707626,HLA-DRB4,0.0217279219025165,
4623,1,56,191076,35,0.0102076595260534,CASP1,0.0217279219025165,
4621,1,58,191076,35,0.010570340385008,CASP1,0.0217279219025165,
5416,1,70,191076,35,0.0127437160344991,HLA-DRB4,0.0242451641614289,
5140,1,72,191076,35,0.0131054941413129,HLA-DRB4,0.0242451641614289,
4612,1,76,191076,35,0.0138286640401735,HLA-DRB4,0.0243647890231628,
4974,1,81,191076,35,0.0147319025323084,COL17A1,0.0247763815316096,
5323,1,91,191076,35,0.0165359692173945,HLA-DRB4,0.0266013417845042,
240,1,99,191076,35,0.0179769117415222,NME1,0.0270441159536066,
1100,2,1130,191076,35,0.0182730513200045,NME1/AKR1B10,0.0270441159536066,
5146,1,106,191076,35,0.0192360538991628,IL1R2,0.0273743843949625,
4270,1,116,191076,35,0.0210321082000769,ADORA2B,0.0288217779038092,
5145,1,132,191076,35,0.0238991512084545,HLA-DRB4,0.0303580516822903,
4514,1,133,191076,35,0.0240780703140965,HLA-DRB4,0.0303580516822903,
5322,1,136,191076,35,0.0246146364991543,HLA-DRB4,0.0303580516822903,
4310,1,150,191076,35,0.0271148251759288,DKK1,0.0310012565532713,
3013,1,151,191076,35,0.0272931716615767,UBE2I,0.0310012565532713,
4145,1,153,191076,35,0.0276497693583231,HLA-DRB4,0.0310012565532713,
230,1,162,191076,35,0.0292528880500755,NME1,0.0318340252309645,
4020,1,177,191076,35,0.0319190485645084,ADORA2B,0.0337429941967661,
4060,1,265,191076,35,0.0474178331902974,IL1R2,0.0479419293168584,Cytokine-cytokine receptor interaction
4010,1,268,191076,35,0.0479419293168584,IL1R2,0.0479419293168584,MAPK signaling pathway
