"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","PATH_NAME"
"04970",12,80,25792,624,4.866779296323e-07,"ADRA1D/ADRA1A/GUCY1A2/ATP1A2/ATP1B2/ATP2B2/PLCB4/PRH1/PRKACB/PRKCB/PRKG1/RYR3",7.20283335855804e-05,"Salivary secretion"
"04742",8,38,25792,624,2.89191581806132e-06,"TAS2R31/TAS2R46/TAS2R19/TAS2R20/TAS2R50/ASIC2/PRKACB/SCNN1A",0.000214001770536537,"Taste transduction"
"04270",11,110,25792,624,7.44458215725894e-05,"IRAG1/MYL9/ADRA1D/ADRA1A/GUCY1A2/PLCB4/PRKACB/PRKCB/PRKG1/ACTA2/PPP1R14A",0.00367266053091441,"Vascular smooth muscle contraction"
"05414",9,85,25792,624,0.000215114715876008,"ITGA1/ITGA7/PLN/PRKACB/RYR2/SGCA/TPM1/TPM2/ITGA8",0.00795924448741228,"Dilated cardiomyopathy"
"00230",12,159,25792,624,0.000511470744625683,"PAICS/GMPR/GUCY1A2/APRT/NME1/PNP/PDE1C/PDE3A/PDE9A/POLD2/PDE8B/ENTPD1",0.0151395340409202,"Purine metabolism"
"05410",8,79,25792,624,0.000647420407447059,"ITGA1/ITGA7/PRKAG2/RYR2/SGCA/TPM1/TPM2/ITGA8",0.0159697033836941,"Hypertrophic cardiomyopathy"
"04020",12,171,25792,624,0.000973142861970677,"ADRA1D/ADRA1A/GNA15/ATP2B2/P2RX1/PDE1C/PLCB4/PLN/PRKACB/PRKCB/RYR2/RYR3",0.0196449740811984,"Calcium signaling pathway"
"04260",7,66,25792,624,0.00106189049087559,"COX5B/COX8A/ATP1A2/ATP1B2/RYR2/TPM1/TPM2",0.0196449740811984,"Cardiac muscle contraction"
"04540",7,85,25792,624,0.00454625503237138,"TUBB3/GUCY1A2/PLCB4/PRKACB/PRKCB/PRKG1/TUBA1C",0.0747606383101072,"Gap junction"
"05412",6,73,25792,624,0.00847192303297723,"ITGA1/ITGA7/LEF1/RYR2/SGCA/ITGA8",0.125384460888063,"Arrhythmogenic right ventricular cardiomyopathy"
"03030",4,36,25792,624,0.0108251005159459,"FEN1/MCM4/POLD2/RFC2",0.142595842860101,NA
"04070",6,78,25792,624,0.0115618250967649,"DGKG/PIP4K2A/PLCB4/PRKCB/PIP5K1B/INPP4B",0.142595842860101,"Phosphatidylinositol signaling system"
"04910",8,132,25792,624,0.0151334006458637,"SORBS1/SHC4/PDE3A/PRKAG2/PRKACB/PRKAR2A/PRKAR2B/SLC2A4",0.164640723190332,"Insulin signaling pathway"
"04960",4,40,25792,624,0.0155741224639503,"ATP1A2/ATP1B2/PRKCB/SCNN1A",0.164640723190332,NA
"04210",6,85,25792,624,0.0171137500110778,"ENDOG/CYCS/PRKACB/PRKAR2A/PRKAR2B/CASP6",0.167897950246961,NA
"04650",7,112,25792,624,0.0192172089236415,"KLRD1/SHC4/PRF1/PRKCB/ULBP3/CD247/NCR1",0.167897950246961,NA
"04976",5,64,25792,624,0.019285575366205,"ATP1A2/ATP1B2/ABCB1/PRKACB/ABCG2",0.167897950246961,NA
"04972",6,90,25792,624,0.0220512731055995,"ATP1A2/ATP1B2/ATP2B2/PLCB4/PRKCB/RYR2",0.181310467757151,"Pancreatic secretion"
"04971",5,69,25792,624,0.0257959894880741,"ATP1A2/ATP1B2/PLCB4/PRKACB/PRKCB",0.200937181275525,NA
"04916",6,96,25792,624,0.0291428037907441,"LEF1/PLCB4/WNT4/PRKACB/PRKCB/WNT9A",0.215656748051507,NA
"00920",2,13,25792,624,0.0382095960082906,"BPNT1/CHST12",0.269286676629857,NA
"05143",3,33,25792,624,0.0449573213484968,"HBD/PLCB4/PRKCB",0.302440161798978,NA
"00562",4,57,25792,624,0.0490042278769093,"PIP4K2A/PLCB4/PIP5K1B/INPP4B",0.315331553294895,"Inositol phosphate metabolism"
"04080",10,230,25792,624,0.0541118803421579,"NMUR1/ADRA1D/ADRA1A/ADRA2C/AGTR2/NPY1R/NPY5R/P2RX1/PTGDR/TSPO",0.333689928776641,NA
"04310",7,145,25792,624,0.063007212084926,"LEF1/PLCB4/WNT4/PRKACB/PRKCB/WNT9A/NKD1",0.373002695542762,NA
"04730",4,64,25792,624,0.0692744712721002,"GUCY1A2/PLCB4/PRKCB/PRKG1",0.394331605702724,"Long-term depression"
"04973",3,40,25792,624,0.0720501232618824,"ATP1A2/ATP1B2/PRKCB",0.394941416398466,"Carbohydrate digestion and absorption"
"02010",3,44,25792,624,0.0901207961442935,"ABCB1/ABCC8/ABCG2",0.47158705661158,NA
"00240",5,99,25792,624,0.0924055719036204,"NME1/PNP/POLD2/ENTPD1/CDA",0.47158705661158,NA
"00532",2,22,25792,624,0.0982444964248716,"CHST12/CSGALNACT1",0.484672849029367,NA
"03430",2,23,25792,624,0.105942875603101,"POLD2/RFC2",0.489985799664344,NA
"04964",2,23,25792,624,0.105942875603101,"ATP1A2/ATP1B2",0.489985799664344,NA
"01100",32,1060,25792,624,0.117997772934248,"BPNT1/PAICS/EBP/MGAT4A/ACER1/COX5B/COX8A/CYP11A1/DGKG/ALDH3A1/ALOX12B/FUT6/GCLM/P4HA3/APRT/MPST/MVK/NDUFA1/NME1/PNP/PLCB4/POLD2/CSGALNACT1/PSPH/PYCR1/PYCR3/PIP5K1B/ACSS1/CBR3/INPP4B/LIPG/CDA",0.529202133159657,"Metabolic pathways"
"04640",4,80,25792,624,0.128836078092937,"IL7R/IL11/ITGA1/CD37",0.532080654779592,NA
"00330",3,52,25792,624,0.131097039126302,"P4HA3/PYCR1/PYCR3",0.532080654779592,NA
"04340",3,52,25792,624,0.131097039126302,"WNT4/PRKACB/WNT9A",0.532080654779592,NA
"05130",3,53,25792,624,0.13661530325422,"OCLN/TUBB3/TUBA1C",0.532080654779592,NA
"05217",3,53,25792,624,0.13661530325422,"LEF1/WNT4/WNT9A",0.532080654779592,NA
"04062",7,178,25792,624,0.141776631483779,"RASGRP2/SHC4/PF4/PLCB4/PPBP/PRKACB/PRKCB",0.538024139989727,NA
"03440",2,28,25792,624,0.146536749554492,"EME1/POLD2",0.54218597335162,NA
"04060",8,219,25792,624,0.163038083203667,"CLCF1/IL7R/IL11/PF4/PPBP/IL22RA1/VEGFA/CD27",0.588527714979089,NA
"00260",2,31,25792,624,0.172184525293163,"PSPH/SRR",0.606745470080668,NA
"05010",6,158,25792,624,0.185074275742342,"COX5B/COX8A/NDUFA1/PLCB4/CYCS/RYR3",0.62189056177108,NA
"03410",2,33,25792,624,0.189660456036491,"FEN1/POLD2",0.62189056177108,NA
"03320",3,63,25792,624,0.19559504277021,"SORBS1/SLC27A4/FABP3",0.62189056177108,NA
"04510",7,196,25792,624,0.198319162884741,"MYL9/ITGA1/ITGA7/SHC4/PRKCB/VEGFA/ITGA8",0.62189056177108,"Focal adhesion"
"05332",2,34,25792,624,0.198486018695785,"KLRD1/PRF1",0.62189056177108,NA
"04810",7,197,25792,624,0.20169423625008,"MYL9/ITGA1/ITGA7/PIP4K2A/PIP5K1B/ITGA8/ARHGEF6",0.62189056177108,"Regulation of actin cytoskeleton"
"04122",1,10,25792,624,0.217259040522046,"MPST",0.656210979535976,NA
"05416",3,68,25792,624,0.227085814172411,"CYCS/PRF1/SGCA",0.663748227726918,NA
"05146",4,101,25792,624,0.228724051446438,"GNA15/PLCB4/PRKACB/PRKCB",0.663748227726918,NA
"04720",3,69,25792,624,0.233498748313658,"PLCB4/PRKACB/PRKCB",0.664573360585027,NA
"03450",1,12,25792,624,0.254690494922861,"FEN1",0.711070155101761,NA
"04740",3,73,25792,624,0.259444516050642,"PDE1C/PRKACB/PRKG1",0.711070155101761,NA
"04662",3,75,25792,624,0.272558364859227,"PRKCB/CD72/CD79B",0.720332821413671,NA
"04974",3,75,25792,624,0.272558364859227,"SLC7A8/ATP1A2/ATP1B2",0.720332821413671,"Protein digestion and absorption"
"05012",4,112,25792,624,0.287087649022942,"COX5B/COX8A/NDUFA1/CYCS",0.720830442443156,NA
"03420",2,44,25792,624,0.288246630232554,"POLD2/RFC2",0.720830442443156,NA
"00561",2,46,25792,624,0.306213910785295,"DGKG/LIPG",0.720830442443156,NA
"00900",1,15,25792,624,0.307513318129759,"MVK",0.720830442443156,NA
"04950",1,15,25792,624,0.307513318129759,"NR5A2",0.720830442443156,NA
"04930",2,47,25792,624,0.315166447595689,"SLC2A4/ABCC8",0.720830442443156,NA
"00360",1,16,25792,624,0.324276777395268,"ALDH3A1",0.720830442443156,NA
"04512",3,83,25792,624,0.325512465633607,"ITGA1/ITGA7/ITGA8",0.720830442443156,"ECM-receptor interaction"
"04914",3,83,25792,624,0.325512465633607,"PDE3A/PGR/PRKACB",0.720830442443156,NA
"05323",3,84,25792,624,0.332151757311901,"ANGPT1/IL11/VEGFA",0.720830442443156,NA
"00510",2,49,25792,624,0.332988435746537,"MGAT4A/DOLPP1",0.720830442443156,NA
"04614",1,17,25792,624,0.34063506770041,"AGTR2",0.720830442443156,NA
"04630",4,122,25792,624,0.341744445249568,"CLCF1/IL7R/IL11/IL22RA1",0.720830442443156,NA
"05144",2,50,25792,624,0.341850173979688,"GYPC/HBD",0.720830442443156,NA
"00590",2,51,25792,624,0.35067426929667,"ALOX12B/CBR3",0.720830442443156,NA
"05110",2,51,25792,624,0.35067426929667,"PRKACB/PRKCB",0.720830442443156,NA
"00100",1,19,25792,624,0.372175015854797,"EBP",0.754546607486437,NA
"04912",3,93,25792,624,0.391580444464615,"PLCB4/PRKACB/PRKCB",0.78316088892923,NA
"05016",5,171,25792,624,0.398319986596054,"COX5B/COX8A/NDUFA1/PLCB4/CYCS",0.78601810688288,NA
"04010",7,252,25792,624,0.409477670438722,"RASGRP2/DUSP4/MEF2C/NTF3/PPM1B/PRKACB/PRKCB",0.796060300364756,NA
"04977",1,22,25792,624,0.416683070137524,"MMACHC",0.796060300364756,NA
"00010",2,59,25792,624,0.419545293435479,"ALDH3A1/ACSS1",0.796060300364756,NA
"05142",3,99,25792,624,0.430476718528565,"GNA15/PLCB4/CD247",0.802431992888116,NA
"05210",2,62,25792,624,0.444416202169603,"LEF1/CYCS",0.802431992888116,NA
"00760",1,24,25792,624,0.444590698762334,"PNP",0.802431992888116,NA
