"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","PATH_NAME"
5414,4,90,191076,30,1.24907150631331e-09,"ITGA1/PRKACB/RYR2/TPM1",8.24387194166786e-08,"Dilated cardiomyopathy"
230,4,162,191076,30,1.34093213970706e-08,"APRT/ENTPD1/NME1/PAICS",4.42507606103329e-07,"Purine metabolism"
5412,3,74,191076,30,2.24664143823521e-07,"ITGA1/RYR2/LEF1",4.94261116411746e-06,"Arrhythmogenic right ventricular cardiomyopathy"
5410,3,83,191076,30,3.18133555841791e-07,"ITGA1/RYR2/TPM1",5.18707191955433e-06,"Hypertrophic cardiomyopathy"
4970,3,89,191076,30,3.92959993905631e-07,"ATP2B2/PRKACB/PRKG1",5.18707191955433e-06,"Salivary secretion"
4270,3,116,191076,30,8.74529888094442e-07,"ACTA2/PRKACB/PRKG1",9.61982876903886e-06,"Vascular smooth muscle contraction"
4910,3,138,191076,30,1.47516384067729e-06,"PRKACB/SLC2A4/SORBS1",1.39086876406716e-05,"Insulin signaling pathway"
4020,3,177,191076,30,3.11480844938113e-06,"ATP2B2/PRKACB/RYR2",2.56971697073943e-05,"Calcium signaling pathway"
5210,2,62,191076,30,4.47976888325288e-05,"LEF1/CYCS",0.000328516384771878,NA
5416,2,70,191076,30,5.71665463742336e-05,"PRF1/CYCS",0.000373142069264676,NA
4520,2,73,191076,30,6.2190344877446e-05,"SORBS1/LEF1",0.000373142069264676,NA
4260,2,77,191076,30,6.92153324476028e-05,"RYR2/TPM1",0.000380684328461816,"Cardiac muscle contraction"
4210,2,87,191076,30,8.84080228259695e-05,"PRKACB/CYCS",0.000416324499247409,NA
4640,2,88,191076,30,9.04551918594091e-05,"IL7R/ITGA1",0.000416324499247409,"Hematopoietic cell lineage"
4540,2,90,191076,30,9.46192043744111e-05,"PRKACB/PRKG1",0.000416324499247409,"Gap junction"
240,2,99,191076,30,0.00011450553230396,"ENTPD1/NME1",0.000436991725015507,NA
4916,2,101,191076,30,0.000119179561367866,"PRKACB/LEF1",0.000436991725015507,NA
4972,2,101,191076,30,0.000119179561367866,"ATP2B2/RYR2",0.000436991725015507,NA
4310,2,150,191076,30,0.000262470805421773,"PRKACB/LEF1",0.000911740692517738,"Wnt signaling pathway"
1100,3,1130,191076,30,0.00074337545945847,"APRT/NME1/PAICS",0.00245313901621295,"Metabolic pathways"
4060,2,265,191076,30,0.000812422962104472,"CD27/IL7R",0.0025533293094712,NA
5200,2,326,191076,30,0.00122307043341401,"LEF1/CYCS",0.00366921130024203,NA
4740,2,388,191076,30,0.00172294078922256,"PRKACB/PRKG1",0.00494409096037779,NA
4614,1,17,191076,30,0.00266585662355712,"AGTR2",0.00733110571478207,NA
