"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","PATH_NAME"
"04914",3,63,9679,50,0.00414312043509838,"ADCY5/CCNB1/RPS6KA2",0.127823349021949,NA
"04114",3,78,9679,50,0.00751902053070286,"ADCY5/CCNB1/RPS6KA2",0.127823349021949,"Oocyte meiosis"
"04970",2,39,9679,50,0.0171581992232088,"ADCY5/TRPV6",0.175421456808064,"Salivary secretion"
"04971",2,43,9679,50,0.0206378184480076,"ADCY5/KCNJ15",0.175421456808064,NA
"04115",2,53,9679,50,0.0304836783732104,"CCNB1/CCND2",0.207289012937831,"p53 signaling pathway"
"04630",2,68,9679,50,0.0479989693911054,"CCND2/SOCS4",0.271994159882931,NA
"04140",1,17,9679,50,0.0843486854749169,"ATG5",0.294048454013185,NA
"04110",2,94,9679,50,0.0847026500839865,"CCNB1/CCND2",0.294048454013185,"Cell cycle"
"04360",2,94,9679,50,0.0847026500839865,"L1CAM/PLXNA3",0.294048454013185,"Axon guidance"
"04310",2,101,9679,50,0.0956928880327843,"CCND2/MMP7",0.294048454013185,NA
"00860",1,21,9679,50,0.103158624862711,"HMOX1",0.294048454013185,NA
"04910",2,106,9679,50,0.103781807298771,"PRKCI/SOCS4",0.294048454013185,"Insulin signaling pathway"
"04930",1,29,9679,50,0.139649477326034,"SOCS4",0.365237094545013,NA
"04976",1,32,9679,50,0.152955001101862,"ADCY5",0.371462145533094,NA
"04622",1,41,9679,50,0.191673195288234,"ATG5",0.395523214991346,NA
"04150",1,42,9679,50,0.195866631710271,"RPS6KA2",0.395523214991346,"mTOR signaling pathway"
"04720",1,43,9679,50,0.200038746311753,"RPS6KA2",0.395523214991346,NA
"05131",1,46,9679,50,0.212428218712964,"ATG5",0.395523214991346,NA
"04972",1,50,9679,50,0.228655394284782,"ADCY5",0.395523214991346,"Pancreatic secretion"
"04540",1,51,9679,50,0.232660714700792,"ADCY5",0.395523214991346,"Gap junction"
"04514",1,58,9679,50,0.260132852304114,"L1CAM",0.399896457919359,"Cell adhesion molecules"
"04210",1,63,9679,50,0.27916329505518,"DFFB",0.399896457919359,NA
"04916",1,64,9679,50,0.282911406041789,"ADCY5",0.399896457919359,NA
"05414",1,64,9679,50,0.282911406041789,"ADCY5",0.399896457919359,"Dilated cardiomyopathy"
"04912",1,67,9679,50,0.294041513176,"ADCY5",0.399896457919359,NA
"04270",1,73,9679,50,0.315796200365129,"ADCY5",0.412964262015937,"Vascular smooth muscle contraction"
"04530",1,83,9679,50,0.350602791702395,"PRKCI",0.441499811773387,NA
"04722",1,93,9679,50,0.383672352044472,"RPS6KA2",0.465887856054001,NA
"04062",1,101,9679,50,0.408934599771205,"ADCY5",0.479440565248999,NA
"04120",1,110,9679,50,0.436142699034497,"UBE2C",0.481581450759067,NA
"00230",1,111,9679,50,0.439088969809738,"ADCY5",0.481581450759067,"Purine metabolism"
"04144",1,146,9679,50,0.533221927136899,"PRKCI",0.556908565409349,NA
"04510",1,149,9679,50,0.540528901720839,"CCND2",0.556908565409349,"Focal adhesion"
"04010",1,177,9679,50,0.603539982027063,"RPS6KA2",0.603539982027063,NA
