"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"05212",4,70,5868,47,0.00225064034813616,"CDK4/SMAD2/RAF1/TGFB3",0.105848392994354
"04110",5,124,5868,47,0.00293088831467418,"CCNH/CDK4/SMAD2/TGFB3/YWHAZ",0.105848392994354
"05200",8,326,5868,47,0.00390441338497532,"BMP4/CDK4/ITGA2B/LAMA3/SMAD2/MET/RAF1/TGFB3",0.105848392994354
"04350",4,84,5868,47,0.0043648821853342,"BMP4/DCN/SMAD2/TGFB3",0.105848392994354
"03013",5,151,5868,47,0.00678270501416756,"EIF2S3/EIF4A1/EIF4E/KPNB1/PABPC1",0.12390800017092
"05144",3,51,5868,47,0.00766441238170639,"GYPC/MET/TGFB3",0.12390800017092
"05210",3,62,5868,47,0.0130927699047813,"SMAD2/RAF1/TGFB3",0.178628855029944
"05211",3,70,5868,47,0.0181273236198378,"MET/RAF1/TGFB3",0.178628855029944
"05218",3,71,5868,47,0.0188224499987009,"CDK4/MET/RAF1",0.178628855029944
"04520",3,73,5868,47,0.0202568804673132,"CTNND1/SMAD2/MET",0.178628855029944
"05220",3,73,5868,47,0.0202568804673132,"CDK4/RAF1/TGFB3",0.178628855029944
"05410",3,83,5868,47,0.0283152147492032,"DMD/ITGA2B/TGFB3",0.224622424464934
"05222",3,85,5868,47,0.0301040362684964,"CDK4/ITGA2B/LAMA3",0.224622424464934
"05414",3,90,5868,47,0.0348329560200537,"DMD/ITGA2B/TGFB3",0.241342623853229
"05219",2,42,5868,47,0.0441367869868855,"CDK4/RAF1",0.285417889181859
"03420",2,44,5868,47,0.0480100188238224,"CCNH/DDB2",0.291060739119423
"05146",3,106,5868,47,0.0523860095488799,"LAMA3/TGFB3/IL1R2",0.298908407425962
"05223",2,54,5868,47,0.0690829842280781,"CDK4/RAF1",0.372280526117977
"04510",4,200,5868,47,0.0749223262239327,"ITGA2B/LAMA3/MET/RAF1",0.382498191774814
"05145",3,132,5868,47,0.0882764986947372,"LAMA3/TGFB3/PPIF",0.416443151062684
"00970",2,63,5868,47,0.0901577955908904,"MARS1/YARS1",0.416443151062684
"05214",2,65,5868,47,0.0950737358630736,"CDK4/RAF1",0.419188744487188
"04115",2,68,5868,47,0.102589963786096,"CDK4/DDB2",0.43266202118484
"03018",2,71,5868,47,0.11026638110646,"TOB2/PABPC1",0.445659956971942
"05412",2,74,5868,47,0.118091484201434,"DMD/ITGA2B",0.458194958701562
"00450",1,17,5868,47,0.127940784101132,"MARS1",0.459639113252216
"04614",1,17,5868,47,0.127940784101132,"CPA3",0.459639113252216
"04974",2,81,5868,47,0.136866903066178,"COL17A1/CPA3",0.474146057050689
"04512",2,85,5868,47,0.147881275547325,"ITGA2B/LAMA3",0.494637369934157
"04640",2,88,5868,47,0.156260605840781,"ITGA2B/IL1R2",0.50524262555186
"04540",2,90,5868,47,0.161898131294137,"HTR2C/RAF1",0.506584475339718
"04666",2,94,5868,47,0.173284489410448,"MARCKS/RAF1",0.52526860852542
"05016",3,183,5868,47,0.17989161449025,"COX4I1/NDUFA4/RCOR1",0.528772321380433
"05142",2,104,5868,47,0.202284672822509,"SMAD2/TGFB3",0.577106272464215
"04660",2,108,5868,47,0.214050149473498,"CDK4/RAF1",0.584557811627409
"04144",3,201,5868,47,0.216949290913265,"SMAD2/MET/TGFB3",0.584557811627409
"05020",1,35,5868,47,0.245940996704339,"STIP1",0.59290441626903
"04722",2,127,5868,47,0.270619441052267,"RAF1/YWHAZ",0.59290441626903
"04360",2,129,5868,47,0.276600837302945,"DPYSL2/MET",0.59290441626903
"05012",2,130,5868,47,0.279591225703973,"COX4I1/NDUFA4",0.59290441626903
"00190",2,132,5868,47,0.285570464135874,"COX4I1/NDUFA4",0.59290441626903
"04960",1,42,5868,47,0.287478801751895,"SGK1",0.59290441626903
"00860",1,43,5868,47,0.293226913031961,"FECH",0.59290441626903
"04120",2,135,5868,47,0.294532803575963,"DDB2/TRIP12",0.59290441626903
"03050",1,44,5868,47,0.298929631501918,"PSMA5",0.59290441626903
"04910",2,138,5868,47,0.303483193837512,"EIF4E/RAF1",0.59290441626903
"04975",1,46,5868,47,0.310200290298397,"AGPAT1",0.59290441626903
"00520",1,48,5868,47,0.321293552330089,"CYB5R3",0.59290441626903
"00561",1,50,5868,47,0.332212150005004,"AGPAT1",0.59290441626903
"04150",1,52,5868,47,0.342958774565556,"EIF4E",0.59290441626903
"05213",1,52,5868,47,0.342958774565556,"RAF1",0.59290441626903
"00500",1,54,5868,47,0.353536076694866,"AGL",0.59290441626903
"04060",3,265,5868,47,0.3572602304224,"MET/TGFB3/IL1R2",0.59290441626903
"05150",1,55,5868,47,0.358762049243084,"CFD",0.59290441626903
"05217",1,55,5868,47,0.358762049243084,"BMP4",0.59290441626903
"04010",3,268,5868,47,0.363922287236586,"RAF1/TGFB3/IL1R2",0.59290441626903
"04340",1,56,5868,47,0.363946667114334,"BMP4",0.59290441626903
"05130",1,56,5868,47,0.363946667114334,"YWHAZ",0.59290441626903
"00562",1,57,5868,47,0.3690902505014,"ITPKB",0.59290441626903
"05221",1,57,5868,47,0.3690902505014,"RAF1",0.59290441626903
"00590",1,59,5868,47,0.379255582489807,"ALOX12",0.59290441626903
"05010",2,167,5868,47,0.3885829354933,"COX4I1/NDUFA4",0.59290441626903
"04020",2,177,5868,47,0.416994391227856,"HTR2C/ITPKB",0.59290441626903
"05120",1,68,5868,47,0.423050575600581,"MET",0.59290441626903
"04610",1,69,5868,47,0.42772585541899,"CFD",0.59290441626903
"03320",1,70,5868,47,0.43236404903777,"FABP4",0.59290441626903
"04720",1,70,5868,47,0.43236404903777,"RAF1",0.59290441626903
"04730",1,70,5868,47,0.43236404903777,"RAF1",0.59290441626903
"05100",1,70,5868,47,0.43236404903777,"MET",0.59290441626903
"05416",1,70,5868,47,0.43236404903777,"DMD",0.59290441626903
"05140",1,72,5868,47,0.441530326839763,"TGFB3",0.59290441626903
"04662",1,75,5868,47,0.455008722306899,"RAF1",0.59290441626903
