"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","PATH_NAME"
"04070",2,78,25857,6,0.000133699759268907,"INPP4B/CALML5",0.00254029542610923,"Phosphatidylinositol signaling system"
"04744",1,25,25857,6,0.00578769118280564,"CALML5",0.034278015287004,"Phototransduction"
"05150",1,51,25857,6,0.0117772512598745,"KRT10",0.034278015287004,"Staphylococcus aureus infection"
"00562",1,57,25857,6,0.0131551784633401,"INPP4B",0.034278015287004,"Inositol phosphate metabolism"
"05214",1,65,25857,6,0.0149899238245578,"CALML5",0.034278015287004,"Glioma"
"04720",1,69,25857,6,0.0159062299651281,"CALML5",0.034278015287004,"Long-term potentiation"
"04971",1,69,25857,6,0.0159062299651281,"CALML5",0.034278015287004,"Gastric acid secretion"
"04740",1,73,25857,6,0.0168218256669845,"CALML5",0.034278015287004,"Olfactory transduction"
"04970",1,81,25857,6,0.0186508875172592,"CALML5",0.034278015287004,"Salivary secretion"
"04912",1,93,25857,6,0.0213891630138359,"CALML5",0.034278015287004,"GnRH signaling pathway"
"04916",1,96,25857,6,0.0220727360840587,"CALML5",0.034278015287004,"Melanogenesis"
"05146",1,101,25857,6,0.0232111402912492,"SERPINB2",0.034278015287004,"Amoebiasis"
"04114",1,109,25857,6,0.0250302898939209,"CALML5",0.034278015287004,"Oocyte meiosis"
"04270",1,110,25857,6,0.0252574849483187,"CALML5",0.034278015287004,"Vascular smooth muscle contraction"
"04722",1,127,25857,6,0.029113055999349,"CALML5",0.0361840842102697,"Neurotrophin signaling pathway"
"04910",1,133,25857,6,0.0304708077560166,"CALML5",0.0361840842102697,"Insulin signaling pathway"
"05010",1,159,25857,6,0.0363361289444518,"CALML5",0.0406109676437991,"Alzheimer disease"
"04020",1,172,25857,6,0.0392576823576873,"CALML5",0.0414386647108922,"Calcium signaling pathway"
"01100",1,1066,25857,6,0.223243985610204,"INPP4B",0.223243985610204,"Metabolic pathways"
