"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","PATH_NAME"
"04070",2,78,191076,6,2.46493739261286e-06,"INPP4B/CALML5",4.68338104596444e-05,"Phosphatidylinositol signaling system"
"04744",1,29,191076,6,0.000910298872730753,"CALML5",0.00531569331211314,"Phototransduction"
"05150",1,55,191076,6,0.00172584171581791,"KRT10",0.00531569331211314,"Staphylococcus aureus infection"
"00562",1,57,191076,6,0.00178855279532664,"INPP4B",0.00531569331211314,"Inositol phosphate metabolism"
"05214",1,65,191076,6,0.00203936428540596,"CALML5",0.00531569331211314,"Glioma"
"04720",1,70,191076,6,0.00219609479678462,"CALML5",0.00531569331211314,"Long-term potentiation"
"04971",1,74,191076,6,0.00232146443660664,"CALML5",0.00531569331211314,"Gastric acid secretion"
"04970",1,89,191076,6,0.00279148368205584,"CALML5",0.00531569331211314,"Salivary secretion"
"04912",1,101,191076,6,0.0031673662059164,"CALML5",0.00531569331211314,"GnRH signaling pathway"
"04916",1,101,191076,6,0.0031673662059164,"CALML5",0.00531569331211314,"Melanogenesis"
"05146",1,106,191076,6,0.00332394907345268,"SERPINB2",0.00531569331211314,"Amoebiasis"
"04114",1,112,191076,6,0.00351182145826778,"CALML5",0.00531569331211314,"Oocyte meiosis"
"04270",1,116,191076,6,0.00363705331881425,"CALML5",0.00531569331211314,"Vascular smooth muscle contraction"
"04722",1,127,191076,6,0.00398137331174475,"CALML5",0.00540329235165359,"Neurotrophin signaling pathway"
"04910",1,138,191076,6,0.00432559414144096,"CALML5",0.00547908591249188,"Insulin signaling pathway"
"05010",1,167,191076,6,0.00523261026108057,"CALML5",0.0061975929496504,"Alzheimer disease"
"04020",1,177,191076,6,0.00554521474442404,"CALML5",0.0061975929496504,"Calcium signaling pathway"
"04740",1,388,191076,6,0.0121221083522467,"CALML5",0.0127955588162604,"Olfactory transduction"
"01100",1,1130,191076,6,0.0349632230769586,"INPP4B",0.0349632230769586,"Metabolic pathways"
