"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"05221",3,57,5868,24,0.00152195839528821,"GRB2/RPS6KB2/STAT3",0.0852296701361396
"04130",2,36,5868,24,0.00927947429173709,"STX10/GOSR1",0.227376290377891
"05160",3,134,5868,24,0.016596680558002,"GRB2/RNASEL/STAT3",0.227376290377891
"04150",2,52,5868,24,0.0187702331416247,"RPS6KB2/RICTOR",0.227376290377891
"03013",3,151,5868,24,0.0227535796463692,"EIF3B/EIF2B4/NUP43",0.227376290377891
"04630",3,155,5868,24,0.0243617453976312,"GRB2/STAT3/SOCS7",0.227376290377891
"04062",3,189,5868,24,0.0404876469169991,"GNB2/GRB2/STAT3",0.302209211899131
"04350",2,84,5868,24,0.0455942096831841,"COMP/RPS6KB2",0.302209211899131
"04012",2,87,5868,24,0.0485693376266461,"GRB2/RPS6KB2",0.302209211899131
"04666",2,94,5868,24,0.0557799894447651,"GSN/RPS6KB2",0.303892791849371
"00533",1,15,5868,24,0.0596932269704122,"FUT8",0.303892791849371
"00511",1,17,5868,24,0.0673894560915768,"MANBA",0.314484128427358
"00100",1,19,5868,24,0.0750252971329722,"TM7SF2",0.323185895342034
"04142",2,121,5868,24,0.0867167841303694,"ATP6AP1/MANBA",0.346867136521477
"04320",1,24,5868,24,0.0938536692359451,"GRB2",0.350387031814195
"04910",2,138,5868,24,0.108326979181838,"GRB2/RPS6KB2",0.369976966756449
"03020",1,29,5868,24,0.112314436336779,"POLR1E",0.369976966756449
"04145",2,153,5868,24,0.128484177851696,"ATP6AP1/COMP",0.399728553316387
"00051",1,36,5868,24,0.137554992681058,"TPI1",0.405425241586276
"03050",1,44,5868,24,0.165559205371049,"PSMA2",0.420993354706992
"00510",1,49,5868,24,0.182617045071032,"FUT8",0.420993354706992
"05144",1,51,5868,24,0.189346178978104,"COMP",0.420993354706992
"05213",1,52,5868,24,0.192690805367055,"GRB2",0.420993354706992
"04510",2,200,5868,24,0.196334313029101,"COMP/GRB2",0.420993354706992
"05110",1,54,5868,24,0.199340428127126,"ATP6AP1",0.420993354706992
"05223",1,54,5868,24,0.199340428127126,"GRB2",0.420993354706992
"00562",1,57,5868,24,0.209216535126797,"TPI1",0.420993354706992
"00010",1,65,5868,24,0.234985355132893,"TPI1",0.420993354706992
"05214",1,65,5868,24,0.234985355132893,"GRB2",0.420993354706992
"04920",1,68,5868,24,0.244439599640726,"STAT3",0.420993354706992
"05120",1,68,5868,24,0.244439599640726,"ATP6AP1",0.420993354706992
"05211",1,70,5868,24,0.250680113142454,"GRB2",0.420993354706992
"05212",1,70,5868,24,0.250680113142454,"STAT3",0.420993354706992
"05220",1,73,5868,24,0.259948351883273,"GRB2",0.420993354706992
"04662",1,75,5868,24,0.266066035001695,"GRB2",0.420993354706992
"04146",1,79,5868,24,0.278156323645691,"SLC25A17",0.420993354706992
"04664",1,79,5868,24,0.278156323645691,"GRB2",0.420993354706992
"04512",1,85,5868,24,0.295934537300038,"COMP",0.427911987705561
"05215",1,89,5868,24,0.307552730176449,"GRB2",0.427911987705561
"04540",1,90,5868,24,0.310428441281444,"GRB2",0.427911987705561
"05323",1,91,5868,24,0.313292705284429,"ATP6AP1",0.427911987705561
"00240",1,99,5868,24,0.335799919639778,"POLR1E",0.44450360369564
"04912",1,101,5868,24,0.341315267123438,"GRB2",0.44450360369564
"04660",1,108,5868,24,0.360275420275823,"GRB2",0.45853235307832
"05200",2,326,5868,24,0.388463778877463,"GRB2/STAT3",0.481589157357634
"04722",1,127,5868,24,0.409138760737813,"GRB2",0.481589157357634
"04380",1,128,5868,24,0.411608830367197,"GRB2",0.481589157357634
"00190",1,132,5868,24,0.421390512687929,"ATP6AP1",0.481589157357634
"05145",1,132,5868,24,0.421390512687929,"STAT3",0.481589157357634
"04650",1,136,5868,24,0.431016247336085,"GRB2",0.482738197016415
"00230",1,162,5868,24,0.489943399737496,"POLR1E",0.52207462700937
"04141",1,165,5868,24,0.496353531278561,"P4HB",0.52207462700937
"05010",1,167,5868,24,0.500583984272079,"APOE",0.52207462700937
"01100",5,1130,5868,24,0.503429104616178,"ATP6AP1/FUT8/TM7SF2/TPI1/POLR1E",0.52207462700937
"04810",1,213,5868,24,0.588993583258735,"GSN",0.599702557499802
"04010",1,268,5868,24,0.675084919930294,"GRB2",0.675084919930294
