"Gene","Penney_p","Cartwright_p","HUNT_p","UKBiobank_p","n_cohorts_sig","min_p","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","DEG_no_GSE53868_FDR05"
"SENP8","2.85E-01","7.34E-01","3.10E-02†","7.20E-04*",2,0.00072,-0.248130202499999,7.2432477405,-5.01302304675179,0.000177657619534104,0.0128476290402212,1.03005601426012,TRUE,FALSE
"SLC2A14","5.12E-01","8.43E-04*","4.49E-01","9.63E-02",1,0.000843,1.42588127525,10.662667468875,4.81299948669752,0.000259368634975062,0.014652913138082,0.671787037230005,TRUE,TRUE
"TNNT3","4.95E-01","6.21E-01","6.67E-06*","6.85E-01",1,6.67e-06,-0.515817317499999,6.96166619666667,-4.68637424986377,0.000330390633783717,0.0160655677197616,0.442337971168956,TRUE,TRUE
"NANOG","7.25E-01","9.64E-05*","3.55E-01","8.64E-02",1,9.64e-05,-0.526392121,8.36254929091667,-4.06608075653251,0.00110814821862794,0.0261049139114537,-0.706587193901959,TRUE,TRUE
"CSTF2T","6.43E-01","3.61E-01","8.59E-01","3.83E-04*",1,0.000383,-0.219693810083333,8.857678625625,-4.04193188929749,0.00116243117625538,0.0266758209073908,-0.751990258657456,TRUE,FALSE
"SUPT16H","5.34E-01","4.61E-04*","3.34E-04*","9.77E-01",2,0.000334,0.199342214083334,9.18973217895833,3.92403051992173,0.0014690424650718,0.0293543970898462,-0.974172313043751,TRUE,FALSE
"RNF168","1.35E-01","9.90E-04*","5.29E-01","7.25E-01",1,0.00099,0.163688296333333,7.32419687958333,3.90377270567859,0.00152948172411999,0.0298143388531094,-1.01242421645335,TRUE,FALSE
"DQX1","2.19E-05*","2.96E-01","4.44E-01","4.22E-01",1,2.19e-05,0.153012901833334,6.00979205441667,3.84281851373532,0.00172701977298838,0.0315408155856162,-1.12763629240187,TRUE,FALSE
"RNF4","4.86E-04*","8.67E-01","1.80E-01","6.90E-01",1,0.000486,-0.176154960833333,10.6949299129167,-3.82537138853205,0.00178819371401049,0.0318959558448529,-1.16064271274076,TRUE,FALSE
"XKR4","3.51E-01","2.34E-04*","3.53E-01","8.52E-01",1,0.000234,0.544340729666668,8.7423867425,3.71765531493489,0.00221769404711408,0.0358261364713354,-1.36464766113722,TRUE,TRUE
"CDCA4","7.92E-02","6.71E-01","2.56E-02†","1.60E-04*",2,0.00016,-0.150004361,6.84631482108333,-3.71233925563616,0.00224141249707505,0.0360109457647962,-1.37472414146466,TRUE,FALSE
