#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AACS	MVK	9606.ENSP00000324842	9606.ENSP00000228510	0	0	0	0	0.148	0	0	0.473	0.532
AACS	SBSPON	9606.ENSP00000324842	9606.ENSP00000297354	0.051	0	0	0	0.291	0	0.187	0.103	0.443
ABCB1	CBR3	9606.ENSP00000478255	9606.ENSP00000290354	0	0	0	0	0.064	0.063	0	0.396	0.424
ABCB1	CYCS	9606.ENSP00000478255	9606.ENSP00000307786	0	0	0	0	0	0	0	0.406	0.406
ABCB1	TUBB3	9606.ENSP00000478255	9606.ENSP00000320295	0	0	0	0	0.055	0	0	0.630	0.635
ABCB1	RUNDC3B	9606.ENSP00000478255	9606.ENSP00000337732	0	0	0	0	0.257	0	0	0.475	0.593
ABCB1	OCLN	9606.ENSP00000478255	9606.ENSP00000347379	0	0	0	0	0.045	0.056	0	0.426	0.437
ABCB1	ABCC8	9606.ENSP00000478255	9606.ENSP00000494321	0	0	0	0.589	0.234	0.076	0	0.256	0.427
ABCB1	ABCG2	9606.ENSP00000478255	9606.ENSP00000498246	0	0.001	0	0.561	0.093	0.100	0	0.492	0.549
ABCC8	ATP1B2	9606.ENSP00000494321	9606.ENSP00000250111	0	0	0	0	0.148	0	0.540	0.119	0.625
ABCC8	KCNA5	9606.ENSP00000494321	9606.ENSP00000252321	0	0	0	0	0.106	0.049	0	0.380	0.427
ABCC8	BLK	9606.ENSP00000494321	9606.ENSP00000259089	0	0	0	0	0.050	0.054	0	0.575	0.585
ABCC8	KCNJ3	9606.ENSP00000494321	9606.ENSP00000295101	0	0.002	0	0	0.116	0.287	0	0.524	0.674
ABCC8	PLN	9606.ENSP00000494321	9606.ENSP00000350132	0	0	0	0	0.047	0	0.540	0.117	0.579
ABCC8	ATP1A2	9606.ENSP00000494321	9606.ENSP00000354490	0	0	0	0	0.150	0.078	0.540	0.254	0.695
ABCC8	PRKACB	9606.ENSP00000494321	9606.ENSP00000359719	0	0.008	0	0	0.089	0	0.900	0.372	0.937
ABCG2	SLC7A11	9606.ENSP00000498246	9606.ENSP00000280612	0	0	0	0	0.071	0.067	0	0.535	0.562
ABCG2	SLC2A4	9606.ENSP00000498246	9606.ENSP00000320935	0	0	0	0	0.095	0.045	0	0.432	0.466
ABCG2	PGR	9606.ENSP00000498246	9606.ENSP00000325120	0	0	0	0	0.069	0.053	0	0.398	0.423
ABCG2	OCLN	9606.ENSP00000498246	9606.ENSP00000347379	0	0	0	0	0	0.051	0	0.437	0.443
ABCG2	ALDH3A1	9606.ENSP00000498246	9606.ENSP00000411821	0	0	0	0	0.058	0	0	0.408	0.419
ACER1	CERS4	9606.ENSP00000301452	9606.ENSP00000251363	0	0	0	0	0.053	0.115	0.900	0.636	0.965
ACER1	CRABP2	9606.ENSP00000301452	9606.ENSP00000482841	0	0	0	0	0	0	0	0.438	0.438
ACSS1	SIRT4	9606.ENSP00000316924	9606.ENSP00000202967	0	0	0	0	0	0	0	0.608	0.608
ACSS1	SBSPON	9606.ENSP00000316924	9606.ENSP00000297354	0.051	0	0	0	0.291	0	0.187	0.103	0.443
ACSS1	FABP3	9606.ENSP00000316924	9606.ENSP00000362817	0	0	0	0	0.210	0	0	0.373	0.483
ACSS1	ALDH3A1	9606.ENSP00000316924	9606.ENSP00000411821	0.041	0	0	0	0.207	0.051	0.915	0.178	0.940
ACTA2	TUBA1C	9606.ENSP00000224784	9606.ENSP00000443475	0	0	0.203	0	0.070	0.136	0	0.176	0.402
ACTA2	TUBB3	9606.ENSP00000224784	9606.ENSP00000320295	0	0	0	0	0.060	0.129	0	0.329	0.404
ACTA2	CASQ2	9606.ENSP00000224784	9606.ENSP00000261448	0	0	0	0	0.105	0.249	0	0.202	0.418
ACTA2	ITGA8	9606.ENSP00000224784	9606.ENSP00000367316	0	0	0	0	0.092	0	0	0.395	0.428
ACTA2	FSCN1	9606.ENSP00000224784	9606.ENSP00000371798	0	0	0	0	0.063	0.353	0	0.141	0.434
ACTA2	PRKG1	9606.ENSP00000224784	9606.ENSP00000363092	0	0	0	0	0.069	0.044	0	0.482	0.499
ACTA2	ZEB2	9606.ENSP00000224784	9606.ENSP00000487174	0	0	0	0	0.062	0	0	0.491	0.502
ACTA2	FBN2	9606.ENSP00000224784	9606.ENSP00000424571	0	0	0	0	0.064	0.103	0	0.501	0.545
ACTA2	SORBS1	9606.ENSP00000224784	9606.ENSP00000360293	0	0	0	0	0.085	0	0.500	0.093	0.549
ACTA2	ITGA1	9606.ENSP00000224784	9606.ENSP00000282588	0	0	0	0	0.099	0	0.500	0.227	0.621
ACTA2	TPM2	9606.ENSP00000224784	9606.ENSP00000496494	0	0	0	0	0.210	0.192	0.500	0.514	0.824
ACTA2	TPM1	9606.ENSP00000224784	9606.ENSP00000351022	0	0	0	0	0.165	0.347	0.500	0.474	0.838
ACTA2	MYL9	9606.ENSP00000224784	9606.ENSP00000279022	0	0	0	0	0.223	0.126	0.900	0.615	0.970
ADAM22	AKR1E2	9606.ENSP00000265727	9606.ENSP00000298375	0	0	0	0	0	0	0	0.409	0.409
ADAM22	IGLON5	9606.ENSP00000265727	9606.ENSP00000270642	0	0	0	0	0.084	0	0	0.388	0.415
ADAM22	RUNDC3B	9606.ENSP00000265727	9606.ENSP00000337732	0	0	0	0	0.083	0	0	0.492	0.514
ADAMTS10	FBN2	9606.ENSP00000471851	9606.ENSP00000424571	0	0	0	0	0	0.046	0	0.761	0.762
ADAMTS10	SLC6A1	9606.ENSP00000471851	9606.ENSP00000494136	0	0	0	0	0.077	0	0	0.445	0.466
ADAMTSL1	PDE8B	9606.ENSP00000369921	9606.ENSP00000264917	0	0	0	0	0.045	0	0	0.413	0.415
ADAMTSL1	FBN2	9606.ENSP00000369921	9606.ENSP00000424571	0	0	0	0	0.067	0.266	0	0.262	0.451
ADARB1	COL18A1	9606.ENSP00000353920	9606.ENSP00000352798	0	0	0	0	0.049	0	0	0.562	0.565
ADRA1A	GNA15	9606.ENSP00000369960	9606.ENSP00000262958	0	0	0	0	0	0.115	0.650	0.113	0.701
ADRA1A	ADRA1D	9606.ENSP00000369960	9606.ENSP00000368766	0	0	0	0.929	0.078	0	0.900	0.093	0.909
ADRA1D	GNA15	9606.ENSP00000368766	9606.ENSP00000262958	0	0	0	0	0	0.115	0.650	0.140	0.710
ADRA1D	UTRN	9606.ENSP00000368766	9606.ENSP00000356515	0	0	0	0	0	0.735	0	0.447	0.847
ADRA1D	AGTR2	9606.ENSP00000368766	9606.ENSP00000360973	0	0	0	0.596	0.050	0	0	0.417	0.423
ADRA1D	MFSD5	9606.ENSP00000368766	9606.ENSP00000442688	0	0	0	0	0	0	0	0.406	0.406
ADRA1D	ADRA2C	9606.ENSP00000368766	9606.ENSP00000386069	0	0	0	0.764	0.109	0.045	0	0.417	0.461
ADRA1D	DTNA	9606.ENSP00000368766	9606.ENSP00000470152	0	0	0	0	0.056	0.735	0	0.079	0.749
ADRA1D	SNTB1	9606.ENSP00000368766	9606.ENSP00000378965	0	0	0	0	0	0.736	0	0.451	0.849
ADRA2C	P2RX1	9606.ENSP00000386069	9606.ENSP00000225538	0	0	0	0	0	0	0	0.451	0.451
ADRA2C	AGTR2	9606.ENSP00000386069	9606.ENSP00000360973	0	0	0	0	0.074	0	0.500	0.129	0.561
ADRA2C	PRKCB	9606.ENSP00000386069	9606.ENSP00000496129	0	0	0	0	0.055	0.045	0.500	0.084	0.531
AFF3	BLK	9606.ENSP00000386834	9606.ENSP00000259089	0	0	0	0	0.171	0.097	0	0.336	0.460
AGTR2	PPBP	9606.ENSP00000360973	9606.ENSP00000296028	0	0	0	0	0.043	0	0.500	0.069	0.515
AGTR2	PF4	9606.ENSP00000360973	9606.ENSP00000296029	0	0	0	0	0.042	0	0.500	0.101	0.531
AGTR2	NMUR1	9606.ENSP00000360973	9606.ENSP00000305877	0	0	0	0.613	0	0	0.500	0.052	0.505
AGTR2	NPY1R	9606.ENSP00000360973	9606.ENSP00000354652	0	0	0	0.652	0	0	0.500	0.064	0.511
AGTR2	TAS2R46	9606.ENSP00000360973	9606.ENSP00000436450	0	0	0	0	0	0	0.500	0	0.499
AGTR2	TAS2R31	9606.ENSP00000360973	9606.ENSP00000375093	0	0	0	0	0	0	0.500	0	0.499
AGTR2	TAS2R19	9606.ENSP00000360973	9606.ENSP00000375091	0	0	0	0	0	0	0.500	0	0.499
AGTR2	TAS2R50	9606.ENSP00000360973	9606.ENSP00000424040	0	0	0	0	0	0	0.500	0	0.499
AGTR2	TAS2R20	9606.ENSP00000360973	9606.ENSP00000441624	0	0	0	0	0	0	0.500	0	0.499
AGTR2	TAS2R14	9606.ENSP00000360973	9606.ENSP00000441949	0	0	0	0	0	0	0.500	0.060	0.509
AGTR2	NPY5R	9606.ENSP00000360973	9606.ENSP00000423917	0	0	0	0.575	0	0	0.500	0.074	0.517
ALDH3A1	TXN	9606.ENSP00000411821	9606.ENSP00000363641	0	0	0	0	0.073	0.308	0	0.290	0.506
ALOX12B	SDR9C7	9606.ENSP00000497784	9606.ENSP00000293502	0	0	0	0	0.263	0	0	0.655	0.735
ALOX12B	SLC27A4	9606.ENSP00000497784	9606.ENSP00000300456	0	0	0	0	0.050	0	0	0.479	0.483
ALOX12B	ALOXE3	9606.ENSP00000497784	9606.ENSP00000314879	0	0	0.062	0.956	0.270	0.292	0	0.083	0.496
ALOX12B	CDSN	9606.ENSP00000497784	9606.ENSP00000365465	0	0	0	0	0.253	0	0	0.276	0.436
ALOXE3	SDR9C7	9606.ENSP00000314879	9606.ENSP00000293502	0	0	0	0	0.116	0	0	0.663	0.689
ALOXE3	SLC27A4	9606.ENSP00000314879	9606.ENSP00000300456	0	0	0	0	0	0	0	0.520	0.520
ALOXE3	ELOVL4	9606.ENSP00000314879	9606.ENSP00000358831	0	0	0	0	0.094	0	0	0.414	0.446
ALOXE3	CDSN	9606.ENSP00000314879	9606.ENSP00000365465	0	0	0	0	0.379	0	0	0.289	0.539
AMIGO2	PLEKHG4	9606.ENSP00000266581	9606.ENSP00000353646	0	0	0	0	0	0	0.400	0	0.400
ANGPT1	PF4	9606.ENSP00000428340	9606.ENSP00000296029	0	0	0	0	0.049	0	0	0.490	0.494
ANGPT1	OCLN	9606.ENSP00000428340	9606.ENSP00000347379	0	0	0	0	0	0.069	0	0.453	0.469
ANGPT1	COL18A1	9606.ENSP00000428340	9606.ENSP00000352798	0	0	0	0	0	0	0	0.583	0.583
ANGPT1	ANGPT4	9606.ENSP00000428340	9606.ENSP00000371347	0	0	0	0.930	0	0.229	0.900	0.102	0.924
ANGPT1	PTHLH	9606.ENSP00000428340	9606.ENSP00000441765	0	0	0	0	0	0	0	0.503	0.503
ANKRD35	FCRL3	9606.ENSP00000347802	9606.ENSP00000357169	0	0	0	0	0.049	0.093	0	0.424	0.460
AP1S3	IL36RN	9606.ENSP00000379891	9606.ENSP00000259212	0	0	0	0	0	0	0	0.726	0.726
AP1S3	IL1RL2	9606.ENSP00000379891	9606.ENSP00000264257	0	0	0	0	0	0	0	0.581	0.581
AP1S3	NCALD	9606.ENSP00000379891	9606.ENSP00000379256	0	0	0	0	0.058	0	0.540	0	0.548
APRT	MPDU1	9606.ENSP00000367615	9606.ENSP00000250124	0	0	0	0	0.140	0	0	0.401	0.463
APRT	GMPR	9606.ENSP00000367615	9606.ENSP00000259727	0.095	0	0	0	0.128	0	0.900	0.520	0.957
APRT	PDE8B	9606.ENSP00000367615	9606.ENSP00000264917	0	0	0	0	0	0	0.900	0.088	0.904
APRT	PDE9A	9606.ENSP00000367615	9606.ENSP00000291539	0	0	0	0	0.042	0	0.900	0.171	0.913
APRT	METTL1	9606.ENSP00000367615	9606.ENSP00000314441	0.085	0	0	0	0.241	0	0	0.242	0.427
