"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Dsel",459.469402409441,3.60171936243536,0.406002273495216,8.87118028041732,7.23746761069062e-19,1.01324546549669e-14,"DSEL",92126
"Spag5",753.152053908773,13.2723905010591,1.67207192383607,7.93769114345843,2.05979470530907e-15,1.44185629371635e-11,"SPAG5",10615
"Fam124a",148.412121862869,-8.24326542140785,1.12734022447765,-7.31213633863487,2.62928124214069e-13,1.22699791299899e-09,"FAM124A",220108
"Dsg1",476.21820210827,12.6113028911249,1.80284647927023,6.99521730559654,2.64848100237614e-12,9.26968350831649e-09,"DSG1",1828
"Kremen1",142.827773984652,-10.5643379253375,1.52401267369066,-6.93192261961581,4.15159046890904e-12,1.16244533129453e-08,"KREMEN1",83999
"Bbs10",113.432976971423,7.38858347771999,1.09479709073431,6.74881541086695,1.49057075690875e-11,3.47799843278707e-08,"BBS10",79738
"Siglec15",119.947484755036,-10.3123790591194,1.54535186953736,-6.67315920885168,2.50354533886406e-11,5.00709067772813e-08,"SIGLEC15",284266
"Dcbld1",160.466945925547,-10.7324985051913,1.63360623156675,-6.56981976305145,5.03762019299846e-11,7.8362980779976e-08,"DCBLD1",285761
"Xk",194.189118213972,-9.01203979120321,1.37026707103593,-6.57684912795142,4.80521902207132e-11,7.8362980779976e-08,"XK",7504
"Ffar4",125.398630150875,-10.376719228238,1.58667732490126,-6.53990516243356,6.15578563142244e-11,8.33472341724467e-08,"FFAR4",338557
"Plagl1",210.227654905848,9.51258779440319,1.45660773079623,6.53064486291261,6.54871125640652e-11,8.33472341724467e-08,"PLAGL1",5325
"Wnk2",169.454054098661,-7.10017680665616,1.09716568944501,-6.47138064465697,9.71114517127413e-11,1.13296693664865e-07,"WNK2",65268
"Asprv1",196.087078117021,11.3306442136166,1.7845996570194,6.34912383236743,2.16544676148664e-10,2.19690612877529e-07,NA,NA
"Zswim5",105.133712819957,10.4316393056672,1.64357909274696,6.34690435750949,2.19690612877529e-10,2.19690612877529e-07,"ZSWIM5",57643
