"Gene","Direcao_SUI_literatura","Fonte","baseMean","log2FoldChange","padj","Testado_no_POP","Significativo_no_POP_FDR05","Direcao_POP","Concordante_com_literatura_SUI"
"APOE","up","Chen et al. 2006, Hum Reprod 21:22-29",545.570143848656,0.181352572525508,NA,TRUE,FALSE,"up",TRUE
"BGN","up","Chen et al. 2006, Hum Reprod 21:22-29",4097.95229582158,0.0797966494261919,0.908079984587845,TRUE,FALSE,"up",TRUE
"BICD2","up","Chen et al. 2006, Hum Reprod 21:22-29",1642.47335944876,0.501312977097028,0.251926530618631,TRUE,FALSE,"up",TRUE
"COL17A1","up","Chen et al. 2006, Hum Reprod 21:22-29",5687.36977699022,0.620274643242646,0.43627514950633,TRUE,FALSE,"up",TRUE
"DCN","up","Chen et al. 2006, Hum Reprod 21:22-29",19110.6154847268,-0.264225668534902,0.598251153057312,TRUE,FALSE,"down",FALSE
"FMOD","down","Chen et al. 2006, Hum Reprod 21:22-29",1467.53228948931,-0.387632867071315,0.437585329873772,TRUE,FALSE,"down",TRUE
"GBA","down","Tong et al. 2010, Int Urogynecol J",NA,NA,NA,FALSE,FALSE,NA,NA
"GOSR1","up","Chen et al. 2006, Hum Reprod 21:22-29",584.958202385892,0.0405651675921073,0.852352116050908,TRUE,FALSE,"up",TRUE
"GRB2","up","Chen et al. 2006, Hum Reprod 21:22-29",1277.1703795713,0.156920886898812,0.653138899761343,TRUE,FALSE,"up",TRUE
"KRT16","up","Chen et al. 2006, Hum Reprod 21:22-29",6725.27887306393,0.819018552961211,0.452979457458318,TRUE,FALSE,"up",TRUE
"PI3","up","Chen et al. 2006, Hum Reprod 21:22-29",688.703986008052,0.813236371044321,0.499096977215929,TRUE,FALSE,"up",TRUE
"PKP1","up","Chen et al. 2006, Hum Reprod 21:22-29",11782.515084517,0.852684634390147,0.364735009220294,TRUE,FALSE,"up",TRUE
"STAT3","up","Chen et al. 2006, Hum Reprod 21:22-29",4097.35806616541,0.19762536490457,0.653741160314159,TRUE,FALSE,"up",TRUE
