"GeneSymbol","Direction","Ratio","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado","Sig_POP_FDR05","Direcao_POP","Concordante"
"GAS2L1","down",0.550244,0.237300545,11.7502490325,5.43901243667649,8.07192612283319e-05,0.00999246567683956,1.77452339522621,TRUE,FALSE,"up",FALSE
"ZC3H12A","up",1.680915,1.06457067008333,9.281523242125,4.93506834362493,0.000205766767306902,0.0135041211735317,0.891057491591031,TRUE,TRUE,"up",TRUE
"COMP","up",1.758913,1.81823518125,9.674500790125,4.38793501321259,0.000588621708993649,0.0197512459415234,-0.105781428683004,TRUE,TRUE,"up",TRUE
"SORBS2","up",2.016173,0.467186761250002,10.853995096875,4.32802425576787,0.000661712442984054,0.0208315390358668,-0.216934762734076,TRUE,FALSE,"up",TRUE
"RNASEL","up",2.380685,-0.313528403499999,10.21815986825,-4.0160172615539,0.00122370453418435,0.0272957266950295,-0.800755138225171,TRUE,FALSE,"down",FALSE
"SLC25A17","up",1.542131,-0.204266963166666,9.93383411416667,-3.98418543341551,0.00130349421915303,0.0279379643488323,-0.860711293031138,TRUE,FALSE,"down",FALSE
"MAP1LC3B","up",3.208002,0.238025292166668,10.2932474155833,3.90472368022149,0.00152658874577524,0.0297870306416063,-1.01062808379367,TRUE,FALSE,"up",TRUE
"RPS6KB2","down",0.651269,0.203214698166667,8.24995422808333,3.6787234600366,0.00239744920216312,0.0373069144799655,-1.43845566183958,TRUE,FALSE,"up",FALSE
"STAT3","down",0.620193,0.232472284833334,8.84440249525,3.52763335737716,0.0032459032132276,0.0434172476998249,-1.72505548490448,TRUE,FALSE,"up",FALSE
"GOSR1","up",1.867409,0.112747719583335,9.63989718420833,3.38069080592457,0.00436039731358663,0.0505545766148373,-2.00362669855367,TRUE,FALSE,"up",TRUE
"GTF2IRD2","up",5.932111,-0.184748043166666,8.83109283841667,-3.31679339106123,0.00495780714172159,0.0540333158567427,-2.12456877550528,TRUE,FALSE,"down",FALSE
"NFKBIZ","up",1.804799,0.85621933075,8.43208934054167,3.21642379084382,0.00606533324438661,0.0606821554243084,-2.3141421645544,TRUE,FALSE,"up",TRUE
"NUP43","up",1.503153,-0.281899627499999,10.6264044304167,-3.02623671850512,0.00888104639338975,0.075603253023399,-2.67132685282281,TRUE,FALSE,"down",FALSE
"FUT8","up",1.51132,0.189702852833334,10.0896511240833,2.92969749556449,0.0107705958190858,0.0841075529757817,-2.85121213028224,TRUE,FALSE,"up",TRUE
"SYNCRIP","down",0.452048,0.120589373333335,11.3271425625,2.72689318262882,0.0161139534050457,0.106107102600891,-3.22475467423734,TRUE,FALSE,"up",FALSE
"NUPL2","down",0.173719,-0.193599350333333,7.52193586658333,-2.72122328117224,0.0162955265778174,0.106740053829248,-3.2350971983182,TRUE,FALSE,"down",TRUE
"SEPX1","down",0.65432,0.287042193333335,10.465507945,2.70049979873498,0.0169762260033748,0.109300724073117,-3.27284661464309,TRUE,FALSE,"up",FALSE
"MTA1","up",1.555866,-0.102695977499998,11.68831056125,-2.55105878825498,0.0227668518953529,0.128061481189791,-3.54240439901384,TRUE,FALSE,"down",FALSE
"GMEB2","up",2.953468,0.10464399925,7.707469968125,2.50129901331643,0.0250862439150733,0.135684789887852,-3.63101238125873,TRUE,FALSE,"up",TRUE
"CBX4","down",0.608477,0.115181854916667,7.00775053729167,2.36508426976189,0.0326466515650491,0.158648226060245,-3.87019018292486,TRUE,FALSE,"up",FALSE
"FAM50B","down",0.647378,-0.157083637583333,9.892012626875,-2.19505728686519,0.0451222152085831,0.19135218656491,-4.16074873272871,TRUE,FALSE,"down",TRUE
"EIF5A","down",0.244107,0.135436385500002,9.98090888391667,2.12276495228948,0.0516737840130754,0.207523305784449,-4.28121258994376,TRUE,FALSE,"up",FALSE
"DUOX1","down",0.634432,0.131224336,6.38571387833333,2.05334524197978,0.0587837083128256,0.224471842779417,-4.39497493795171,TRUE,FALSE,"up",FALSE
