"Gene_Humano","Papel_biologico","Fonte_literatura","Ortologo_rato","SUI_36h_log2FC","SUI_36h_padj","SUI_72h_log2FC","SUI_72h_padj","POP_log2FC","POP_padj","Significativo_SUI36h","Significativo_SUI72h","Significativo_POP"
"NGF","Fator de crescimento neural; sinaliza via TrkA/p75NTR","Shen et al. 2024 (revisao sistematica nervo pelvico)","Ngf",0.107,0.999906855889024,NA,NA,-0.056,0.93984604964136,"nao","nao","nao"
"NTRK1","Receptor TrkA do NGF","Shen et al. 2024","Ntrk1",NA,NA,NA,NA,-0.45,0.375439419448691,"nao","nao","nao"
"NGFR","Receptor p75NTR do NGF","Shen et al. 2024","Ngfr",1.003,0.999906855889024,-0.41,0.999856671432754,0.242,0.696961258057679,"nao","nao","nao"
"VIP","Neuropeptideo (peptideo intestinal vasoativo)","Shen et al. 2024","Vip",NA,NA,NA,NA,-0.517,0.354545261681644,"nao","nao","nao"
"ADCYAP1","Neuropeptideo PACAP","Shen et al. 2024","Adcyap1",NA,NA,NA,NA,0.938,0.0791663432827169,"nao","nao","nao"
"NPY","Neuropeptideo Y","Shen et al. 2024","Npy",NA,NA,NA,NA,NA,NA,"nao","nao","nao"
"NPY1R","Receptor de NPY (Y1)","Shen et al. 2024 (via NPY)","Npy1r",NA,NA,NA,NA,-1.731,0.00227022901511554,"nao","nao","SIM"
"NPY2R","Receptor de NPY (Y2)","Shen et al. 2024 (via NPY)","Npy2r",NA,NA,NA,NA,NA,NA,"nao","nao","nao"
"NPY5R","Receptor de NPY (Y5)","Shen et al. 2024 (via NPY)","Npy5r",NA,NA,NA,NA,-1.259,0.0306025328930573,"nao","nao","SIM"
"BDNF","Fator neurotrofico derivado do cerebro","Shen et al. 2024","Bdnf",NA,NA,NA,NA,-0.01,0.98501263183625,"nao","nao","nao"
"NTF3","Neurotrofina-3","Shen et al. 2024","Ntf3",NA,NA,0.195,0.999856671432754,-0.947,0.0344276511270046,"nao","nao","SIM"
"GFRA1","Receptor da familia GDNF (co-receptor de RET)","Shen et al. 2024 (contexto GDNF/regeneracao nervosa)","Gfra1",-0.36,0.999906855889024,0.477,0.999856671432754,-0.4,0.399559036653481,"nao","nao","nao"
"GFRA2","Receptor da familia GDNF","Shen et al. 2024 (contexto GDNF/regeneracao nervosa)","Gfra2",-0.455,0.999906855889024,1.178,0.0476673685905967,-0.316,0.520218372584979,"nao","SIM","nao"
"GFRA3","Receptor da familia GDNF; inervacao simpatica/sensorial","Shen et al. 2024 (contexto GDNF/regeneracao nervosa)","Gfra3",-1.971,0.0133520564032648,0.681,0.999856671432754,-0.626,0.276125963057137,"SIM","nao","nao"
"GFRA4","Receptor da familia GDNF","Shen et al. 2024 (contexto GDNF/regeneracao nervosa)","Gfra4",NA,NA,NA,NA,NA,NA,"nao","nao","nao"
"EDNRA","Receptor de endotelina A","Shen et al. 2024 (contexto inervacao vascular/simpatica)","Ednra",-3.634,0.000294792559371928,-0.039,0.999856671432754,-0.694,0.200788843617871,"SIM","nao","nao"
"EDNRB","Receptor de endotelina B","Shen et al. 2024 (contexto inervacao vascular/simpatica)","Ednrb",0.258,0.999906855889024,-0.378,0.999856671432754,-0.669,0.105596022499182,"nao","nao","nao"
"S100B","Marcador de celula de Schwann/glial","Shen et al. 2024 (marcador S100 em tecido POP/SUI)","S100b",-2.001,0.398177547906608,-0.18,0.999856671432754,-0.885,0.0951775984556376,"nao","nao","nao"
"UCHL1","Marcador neuronal (PGP9.5)","Shen et al. 2024 (marcador PGP9.5 em tecido vaginal)","Uchl1",-0.561,0.999906855889024,0.165,0.999856671432754,0.33,0.534484206423654,"nao","nao","nao"
"GFAP","Marcador de celula glial","Shen et al. 2024 (marcadores gliais em nervo pelvico)","Gfap",NA,NA,NA,NA,-0.804,0.105596022499182,"nao","nao","nao"
"CTNNB1","Beta-catenina; via Wnt/beta-catenina","Shen et al. 2024 (Schwann cell exosomes / Wnt-beta-catenina)","Ctnnb1",0.033,0.999906855889024,0.386,0.999856671432754,-0.02,0.958659491224565,"nao","nao","nao"
"IL1B","Citocina pro-inflamatoria IL-1beta","Masyhuroh et al. 2024 (citocinas IL-1 / ligamento uterossacral)","Il1b",-0.155,0.999906855889024,0.323,0.999856671432754,0.106,0.895172426588954,"nao","nao","nao"
"IL1A","Citocina pro-inflamatoria IL-1alfa","Masyhuroh et al. 2024","Il1a",NA,NA,NA,NA,0.237,0.749216205423635,"nao","nao","nao"
"IL1R1","Receptor de IL-1","Masyhuroh et al. 2024","Il1r1",-0.891,0.999906855889024,-0.118,0.999856671432754,0.279,0.652136077501411,"nao","nao","nao"
"NLRP3","Inflamassomo NLRP3","Masyhuroh et al. 2024 (ROS / inflamassomo NLRP3)","Nlrp3",NA,NA,NA,NA,-0.43,0.514087535338012,"nao","nao","nao"
