"gene","degree","betweenness","closeness","weighted_strength","rank_degree","rank_betweenness","rank_strength","hub_score"
"PRKACB",19,5708.54,0.00097,14.45,2,2,3,2.33333333333333
"CYCS",18,6182.13,0.00097,11.23,5,1,6,4
"MRPS12",21,3183.45,9e-04,15.54,1,12,1,4.66666666666667
"RYR2",19,5408.55,0.00097,10.89,2,4,9,5
"ENTPD1",17,3815.92,0.00093,11.14,7,7,8,7.33333333333333
"CD27",18,2175.17,0.00089,11.25,5,22,5,10.6666666666667
"ITGA1",16,4260.61,9e-04,9.25,9,6,17,10.6666666666667
"TPM1",15,3650.67,0.00093,9.25,11,8,17,12
"CASQ2",17,2463.67,0.00089,9.85,7,17,15,13
"PRKG1",14,2759.23,0.00091,9.9,14,14,14,14
"IL7R",15,2586.29,9e-04,9.7,11,16,16,14.3333333333333
"H2AX",14,3642.44,0.00087,8.09,14,9,25,16
"MRTO4",19,1117.02,0.00084,15.17,2,53,2,19
"APRT",14,1793.11,0.00086,10.03,14,31,13,19.3333333333333
"NME1",13,3194.84,0.00089,6.83,20,11,32,21
"SLC2A4",12,5641.18,0.00096,6.61,25,3,35,21
"TBX21",14,1647.28,0.00089,8.8,14,33,20,22.3333333333333
"MRPL17",14,1141.1,8e-04,11.43,14,51,4,23
"WDR12",14,1212.85,0.00081,10.82,14,46,10,23.3333333333333
"ACTA2",13,2053.77,0.00091,7.43,20,25,29,24.6666666666667
"AGTR2",13,2401.02,0.00069,6.57,20,18,36,24.6666666666667
"LEF1",12,2850.13,0.00088,6.3,25,13,40,26
"PAICS",12,2707.95,0.00083,6.29,25,15,42,27.3333333333333
"TXN",12,2113.71,0.00086,6.64,25,24,33,27.3333333333333
"PRF1",13,1199.05,0.00085,9.08,20,47,19,28.6666666666667
"SORBS1",10,1910.18,0.00092,5.84,34,28,48,36.6666666666667
"TAL1",9,2181.57,0.00083,5.84,42,21,48,37
"DTNA",9,1613.38,0.00079,6.5,42,35,39,38.6666666666667
"ATP2B2",9,2308.15,0.00086,5.23,42,19,58,39.6666666666667
"MRPL12",13,601.73,0.00079,10.08,20,90,12,40.6666666666667
"PGR",10,1592.86,0.00084,5.44,34,36,55,41.6666666666667
"CD79B",12,711.51,0.00075,7.21,25,74,31,43.3333333333333
"KLRD1",12,660.59,8e-04,8.14,25,81,24,43.3333333333333
"RPL7L1",16,421.83,0.00081,11.16,9,114,7,43.3333333333333
"CDSN",8,3404.94,0.00055,4.47,52,10,71,44.3333333333333
"RRP9",11,604.22,0.00078,8.38,31,89,23,47.6666666666667
"GMPR",8,1162.95,0.00083,6.13,52,49,44,48.3333333333333
