"gene","degree","betweenness","closeness","weighted_strength","rank_degree","rank_betweenness","rank_strength","hub_score"
"DSG1",3,5,0.1,2.3,1,2,1,1.33333333333333
"DSP",3,8,0.11111,2.07,1,1,2,1.33333333333333
"KRT14",3,5,0.1,1.67,1,2,3,2
"TLR4",3,3,0.33333,1.56,1,5,4,3.33333333333333
"SCN5A",2,5,0.08333,1.46,5,2,5,4
"AGRN",2,0,0.5,1.23,5,7,6,6
"GPC4",2,0,0.5,1.19,5,7,7,6.33333333333333
"PIWIL4",2,1,0.5,0.94,5,6,9,6.66666666666667
"HPSE2",2,0,0.5,1.12,5,7,8,6.66666666666667
"SCN7A",1,0,0.05882,0.92,10,7,10,9
"SPAG5",1,0,1,0.89,10,7,11,9.33333333333333
"TTK",1,0,1,0.89,10,7,11,9.33333333333333
"FFAR4",1,0,0.2,0.64,10,7,13,10
"EDNRA",1,0,0.06667,0.59,10,7,14,10.3333333333333
"MX1",1,0,0.2,0.5,10,7,15,10.6666666666667
"AMER1",1,0,1,0.49,10,7,16,11
"ARHGEF9",1,0,1,0.49,10,7,16,11
"FUT4",1,0,0.33333,0.48,10,7,18,11.6666666666667
"AGO1",1,0,0.33333,0.46,10,7,19,12
"PDK4",1,0,1,0.43,10,7,20,12.3333333333333
"SIRT3",1,0,1,0.43,10,7,20,12.3333333333333
"ALDH1A3",1,0,0.06667,0.42,10,7,22,13
"SERPINB2",1,0,0.2,0.41,10,7,23,13.3333333333333
