#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACADVL	NDUFA9	9606.ENSP00000438689	9606.ENSP00000266544	0	0	0	0	0.161	0	0.182	0.278	0.462
ACADVL	HADHB	9606.ENSP00000438689	9606.ENSP00000325136	0.054	0	0	0	0.391	0.099	0.918	0.763	0.988
ACADVL	ALDH3A2	9606.ENSP00000438689	9606.ENSP00000345774	0.042	0	0	0	0.160	0	0.182	0.239	0.433
ACADVL	ALDH9A1	9606.ENSP00000438689	9606.ENSP00000346827	0.042	0	0	0	0.145	0	0.182	0.233	0.418
ACADVL	NDUFAB1	9606.ENSP00000438689	9606.ENSP00000458770	0.057	0	0	0	0.083	0	0.265	0.185	0.413
ACADVL	NDUFV1	9606.ENSP00000438689	9606.ENSP00000497587	0	0	0	0	0.377	0	0	0.349	0.577
ACTG1	ITGB4	9606.ENSP00000458162	9606.ENSP00000200181	0	0	0	0	0.042	0.070	0.900	0.163	0.915
ACTG1	MYH9	9606.ENSP00000458162	9606.ENSP00000216181	0	0	0	0	0.177	0.337	0.900	0.645	0.978
ACTG1	PFN1	9606.ENSP00000458162	9606.ENSP00000225655	0	0	0	0	0.252	0.301	0.900	0.871	0.992
ACTG1	ARPC3	9606.ENSP00000458162	9606.ENSP00000228825	0	0	0	0	0.201	0.405	0.900	0.339	0.964
ACTG1	IQGAP1	9606.ENSP00000458162	9606.ENSP00000268182	0	0	0	0	0.067	0.247	0.900	0.292	0.943
ACTG1	ARPC5	9606.ENSP00000458162	9606.ENSP00000294742	0	0	0	0	0.072	0.386	0.900	0.282	0.953
ACTG1	ITGA2	9606.ENSP00000458162	9606.ENSP00000296585	0	0	0	0	0.047	0	0.650	0.430	0.793
ACTG1	SCIN	9606.ENSP00000458162	9606.ENSP00000297029	0	0	0	0	0.053	0.237	0	0.667	0.738
ACTG1	CFL2	9606.ENSP00000458162	9606.ENSP00000298159	0	0	0	0	0.089	0.854	0.900	0.779	0.996
ACTG1	PPP1CA	9606.ENSP00000458162	9606.ENSP00000326031	0	0	0.279	0	0.176	0.095	0	0.154	0.484
ACTG1	ITGA11	9606.ENSP00000458162	9606.ENSP00000327290	0	0	0	0	0	0	0.650	0.092	0.668
ACTG1	WASF3	9606.ENSP00000458162	9606.ENSP00000335055	0	0	0	0	0	0.202	0.900	0.107	0.922
ACTG1	FN1	9606.ENSP00000458162	9606.ENSP00000346839	0	0	0	0	0.049	0.067	0	0.760	0.768
ACTG1	TJP1	9606.ENSP00000458162	9606.ENSP00000348416	0	0	0	0	0.047	0.045	0.900	0.158	0.913
ACTG1	RAC1	9606.ENSP00000458162	9606.ENSP00000348461	0	0	0	0	0.126	0.070	0.500	0.197	0.630
ACTG1	PIP5K1A	9606.ENSP00000458162	9606.ENSP00000357883	0	0	0	0	0.048	0.058	0.900	0.076	0.906
ACTG1	FLNA	9606.ENSP00000458162	9606.ENSP00000358866	0	0	0	0	0.110	0.194	0	0.652	0.729
ACTG1	ITGB1	9606.ENSP00000458162	9606.ENSP00000379350	0	0	0	0	0.102	0.077	0.900	0.530	0.955
ACTG1	MYH11	9606.ENSP00000458162	9606.ENSP00000379616	0	0	0	0	0.086	0.238	0.900	0.269	0.942
ACTG1	CTNND1	9606.ENSP00000458162	9606.ENSP00000382004	0	0	0	0	0.048	0.292	0	0.520	0.648
ACTG1	RHOA	9606.ENSP00000458162	9606.ENSP00000400175	0	0	0	0	0.171	0.070	0.900	0.359	0.944
ACTG1	NCK1	9606.ENSP00000458162	9606.ENSP00000417273	0	0	0	0	0.064	0.042	0.500	0.123	0.554
ACTG1	CFL1	9606.ENSP00000458162	9606.ENSP00000432660	0	0	0	0	0.521	0.840	0.900	0.790	0.998
ACTG1	ITGB3	9606.ENSP00000458162	9606.ENSP00000452786	0	0	0	0	0.043	0.070	0.900	0.141	0.913
ACTG1	IKBKG	9606.ENSP00000458162	9606.ENSP00000483825	0	0	0	0	0.042	0.420	0	0.061	0.432
ACTG1	CYFIP2	9606.ENSP00000458162	9606.ENSP00000479719	0	0	0	0	0.049	0.226	0.500	0.139	0.641
ACTG1	PIP5K1C	9606.ENSP00000458162	9606.ENSP00000466363	0	0	0	0	0.048	0.058	0.900	0.130	0.911
ACTG1	MYL12B	9606.ENSP00000458162	9606.ENSP00000463559	0	0	0	0	0.166	0.126	0.900	0.303	0.942
ACTG1	CDC42	9606.ENSP00000458162	9606.ENSP00000497733	0	0	0	0	0.118	0.070	0.900	0.537	0.957
ACTG1	MYH14	9606.ENSP00000458162	9606.ENSP00000493594	0	0	0	0	0.042	0.903	0.900	0.284	0.992
ADH7	ALDH3A2	9606.ENSP00000420269	9606.ENSP00000345774	0.048	0	0	0	0.135	0	0.706	0.554	0.878
ADH7	ALDH9A1	9606.ENSP00000420269	9606.ENSP00000346827	0.048	0	0	0	0.107	0	0.706	0.538	0.869
ADH7	GSTM3	9606.ENSP00000420269	9606.ENSP00000354357	0	0	0	0	0.086	0.070	0.650	0.182	0.724
