GeneId	Chromosome	Start	End	Length	GeneName	GeneBiotype	JC1_count	JC10_count	JC11_count	JC12_count	JC13_count	JC14_count	JC15_count	JC16_count	JC17_count	JC18_count	JC19_count	JC2_count	JC20_count	JC21_count	JC22_count	JC23_count	JC24_count	JC3_count	JC4_count	JC5_count	JC6_count	JC7_count	JC8_count	JC9_count
ENSG00000223972	chr1	11869	14409	1735	DDX11L1	transcribed_unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	chr1	14404	29570	1351	WASH7P	unprocessed_pseudogene	40	38	53	64	34	50	39	30	29	49	41	68	32	56	35	50	36	31	42	23	82	34	28	12
ENSG00000278267	chr1	17369	17436	68	MIR6859-1	miRNA	4	1	11	14	1	2	2	2	1	4	3	3	0	2	3	7	5	3	7	1	11	1	0	2
ENSG00000243485	chr1	29554	31109	1021	MIR1302-11	lincRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	chr1	30366	30503	138	MIR1302-9	miRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	chr1	34554	36081	1219	FAM138A	lincRNA	0	0	0	0	0	0	52	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	chr1	52473	53312	840	OR4G4P	unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	chr1	62948	63887	940	OR4G11P	unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	chr1	69091	70008	918	OR4F5	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	chr1	89295	133723	3726	RP11-34P13.7	lincRNA	0	4	0	2	0	2	1	1	2	0	2	0	0	2	0	0	0	0	1	0	0	0	0	1
ENSG00000239945	chr1	89551	91105	1319	RP11-34P13.8	lincRNA	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	chr1	131025	134836	3812	CICP27	processed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	chr1	135141	135895	755	RP11-34P13.15	processed_pseudogene	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0
ENSG00000269981	chr1	137682	137965	284	RP11-34P13.16	processed_pseudogene	1	0	5	5	0	0	1	0	0	2	2	0	1	0	2	3	2	0	0	3	2	0	0	1
ENSG00000239906	chr1	139790	140339	323	RP11-34P13.14	antisense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	chr1	141474	173862	6195	RP11-34P13.13	processed_transcript	5	1	1	6	3	0	1	0	2	0	2	2	4	9	2	1	1	2	6	3	2	3	1	0
ENSG00000222623	chr1	157784	157887	104	RNU6-1100P	snRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	chr1	160446	161525	457	RP11-34P13.9	lincRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	chr1	182393	184158	718	FO538757.3	protein_coding	0	0	1	1	0	0	4	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000279457	chr1	184923	200322	1982	FO538757.2	protein_coding	81	75	81	98	61	69	134	80	56	95	147	136	101	80	68	83	64	75	113	80	159	65	42	58
ENSG00000273874	chr1	187891	187958	68	MIR6859-2	miRNA	1	4	5	3	0	0	0	0	0	1	4	1	10	3	1	4	0	0	0	1	2	0	0	0
ENSG00000275135	chr1	200880	201017	138	FO538757.1	miRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	chr1	257864	297502	3954	AP006222.2	lincRNA	5	3	13	12	10	9	1	2	8	4	19	8	2	5	2	3	6	8	4	3	1	2	1	5
ENSG00000241670	chr1	258568	259024	457	AP006222.1	processed_pseudogene	0	2	1	2	0	0	0	1	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	2
ENSG00000236679	chr1	347982	348366	385	RP4-669L17.1	processed_pseudogene	0	0	1	1	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000236743	chr1	357383	359681	676	RP5-857K21.15	lincRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
ENSG00000236601	chr1	358857	365704	635	RP4-669L17.2	lincRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	chr1	365389	501617	4565	RP4-669L17.10	lincRNA	1	0	1	0	0	0	1	0	0	1	3	1	0	0	2	1	0	1	1	0	1	2	0	0
ENSG00000269732	chr1	439870	440232	363	WBP1LP7	processed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	chr1	450740	451678	939	OR4F29	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	chr1	485032	485211	180	RP4-669L17.4	transcribed_unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000233653	chr1	487101	489906	2477	CICP7	processed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	chr1	491225	493241	1239	RP4-669L17.8	unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	chr1	516376	516479	104	U6	snRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	chr1	585989	588453	842	RP5-857K21.1	lincRNA	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0
ENSG00000235146	chr1	587629	594768	635	RP5-857K21.2	lincRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	chr1	594453	597498	639	RP5-857K21.3	lincRNA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	chr1	601436	724707	1854	RP5-857K21.4	lincRNA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0
ENSG00000223659	chr1	627377	629010	802	RP5-857K21.5	lincRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	chr1	629062	629433	372	MTND1P23	unprocessed_pseudogene	12	23	25	15	11	17	4	2	19	16	8	6	10	0	10	11	7	15	13	16	7	3	9	9
ENSG00000225630	chr1	629640	630683	1044	MTND2P28	unprocessed_pseudogene	867	1440	3083	3679	804	939	1033	1455	719	1103	754	1582	1185	1448	1261	1077	1126	583	700	630	1145	872	1122	972
ENSG00000276171	chr1	630896	630958	63	AC114498.1	miRNA	0	5	5	6	0	4	6	2	1	1	7	1	7	0	7	4	3	7	1	1	4	6	2	2
ENSG00000237973	chr1	631074	632616	1543	MIR6723	unprocessed_pseudogene	649	1341	1307	1335	565	1038	600	599	687	818	724	1003	813	507	726	731	828	1030	761	708	912	546	967	982
ENSG00000278791	chr1	632325	632413	89	MIR6723	miRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	chr1	632757	633438	682	RP5-857K21.7	unprocessed_pseudogene	39	72	99	119	39	55	63	37	59	80	69	60	50	24	69	34	61	65	43	44	37	36	36	58
ENSG00000240409	chr1	633535	633741	207	MTATP8P1	unprocessed_pseudogene	9	23	27	23	10	15	11	47	11	19	11	25	19	14	26	31	23	10	14	10	18	8	24	12
ENSG00000248527	chr1	633696	634376	681	MTATP6P1	unprocessed_pseudogene	4297	6826	5328	6345	4049	3957	4220	5579	4910	6535	5977	7766	5015	4031	6911	5534	7197	4866	6908	4632	7889	5228	4241	5450
ENSG00000198744	chr1	634376	634922	547	RP5-857K21.11	unprocessed_pseudogene	68	223	209	265	72	130	82	64	128	114	78	91	92	88	127	92	99	107	111	93	90	67	68	127
ENSG00000268663	chr1	674842	675265	424	WBP1LP6	processed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	chr1	685716	686654	939	OR4F16	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	chr1	722092	724903	2455	CICP3	processed_pseudogene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224956	chr1	726231	728147	1236	RP11-206L10.1	unprocessed_pseudogene	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000235373	chr1	741813	750016	4860	RP11-206L10.3	lincRNA	4	1	0	0	0	2	4	7	0	4	4	4	5	6	0	3	2	0	1	5	3	2	3	2
ENSG00000223181	chr1	758233	758336	104	RNU6-1199P	snRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000240618	chr1	759032	764925	295	RP11-206L10.5	lincRNA	0	0	2	0	0	0	4	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0
ENSG00000229905	chr1	760911	761989	456	RP11-206L10.4	antisense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	chr1	764857	778626	1317	RP11-206L10.2	lincRNA	5	3	7	6	5	3	3	9	4	6	9	6	10	10	3	7	0	5	14	3	17	7	17	7
ENSG00000237491	chr1	778770	810060	5517	RP11-206L10.9	lincRNA	6	12	22	22	5	15	4	9	9	14	28	26	14	19	13	21	7	15	14	8	26	7	14	9
ENSG00000230092	chr1	800879	817712	872	RP11-206L10.8	transcribed_unprocessed_pseudogene	0	2	7	14	2	7	4	7	5	14	10	7	23	12	8	8	17	6	8	5	10	1	14	8
