#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCNB1	DLGAP5	9606.ENSP00000256442	9606.ENSP00000247191	0	0	0	0	0.880	0	0	0.723	0.965
CCNB1	CCND2	9606.ENSP00000256442	9606.ENSP00000261254	0	0	0	0.623	0.107	0.048	0	0.554	0.588
CCNB1	KIF18A	9606.ENSP00000256442	9606.ENSP00000263181	0	0	0	0	0.570	0.069	0.400	0.395	0.835
CCNB1	UBE2C	9606.ENSP00000256442	9606.ENSP00000348838	0	0	0	0	0.859	0.072	0.500	0.877	0.990
DLGAP5	KIF18A	9606.ENSP00000247191	9606.ENSP00000263181	0	0	0	0	0.816	0	0	0.714	0.945
DLGAP5	UBE2C	9606.ENSP00000247191	9606.ENSP00000348838	0	0	0	0	0.892	0.046	0	0.720	0.968
KIF18A	UBE2C	9606.ENSP00000263181	9606.ENSP00000348838	0	0	0	0	0.406	0.045	0	0.213	0.514
L1CAM	PLXNA3	9606.ENSP00000359077	9606.ENSP00000358696	0	0	0	0	0.073	0.071	0	0.389	0.428
L1CAM	RPS6KA2	9606.ENSP00000359077	9606.ENSP00000422435	0	0	0	0	0	0	0.500	0.055	0.507
MMP11	MMP7	9606.ENSP00000215743	9606.ENSP00000260227	0	0	0.112	0.806	0.064	0	0.500	0.471	0.750
